"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"ETERNAL","ETERNAL LIMITED","Certificate under SEBI (Depositories and Participants) Regulations, 2018","ETERNAL LIMITED has informed the exchange about certificate under Regulation 74 of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended September 30, 2025.","07-Oct-2025 19:11:12","2025-10-07 19:11:12","07-Oct-2025 19:11:13","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_07102025191047_CertificateunderReg74September2025signed.pdf"
"ETERNAL","ETERNAL LIMITED","ESOP/ESOS/ESPS","Eternal Limited has informed has informed the Exchange regarding Grant of 6413217 stock options.","01-Oct-2025 18:33:42","2025-10-01 18:33:42","01-Oct-2025 18:33:42","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_01102025183219_GrantdisclosuresignedOctober12025signed.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","General Updates","25-Sep-2025 21:55:38","2025-09-25 21:55:38","25-Sep-2025 21:55:40","00:00:02","https://nsearchives.nseindia.com/corporate/ZOMATO_25092025215316_Disclsoure25032025signed.pdf"
"ETERNAL","ETERNAL LIMITED","Trading Window","ETERNAL LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","20-Sep-2025 18:33:40","2025-09-20 18:33:40","20-Sep-2025 18:33:41","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_20092025183217_InsiderTradingIntimationtostockexchange20092025signed.pdf"
"ETERNAL","ETERNAL LIMITED","General Updates","Eternal Limited has informed the exchange regarding 3 orders received from Joint Commissioner, Appeals-4, Bengaluru","25-Aug-2025 22:35:10","2025-08-25 22:35:10","25-Aug-2025 22:35:11","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_25082025223442_ELIntimationKNOrders25August2025updatedsigned.pdf"
"ETERNAL","ETERNAL LIMITED","General Updates","Eternal Limited has informed the exchange about incorporation of Blinkit Foods Limited, wholly owned subsidiary of the Company","21-Aug-2025 22:05:38","2025-08-21 22:05:38","21-Aug-2025 22:05:39","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_21082025220337_Companyincorporationupdateigned1.pdf"
"ETERNAL","ETERNAL LIMITED","General Updates","Eternal limited has informed the exchange that members at the AGM held on August 19, 2025, inter alia, have considered and approved 1) Re-appointment of Deloitte Haskins & Sells as Statutory Auditor and 2) Appointment of Chandrasekaran Associates as Secretarial Auditor","21-Aug-2025 12:56:04","2025-08-21 12:56:04","21-Aug-2025 12:56:05","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_21082025125122_Auditorappointmentfilingsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Shareholders meeting","Eternal Limited has submitted the exchange a copy of scrutinizers report and voting results of 15th Annual General Meeting held on August 19, 2025.","21-Aug-2025 12:32:12","2025-08-21 12:32:12","21-Aug-2025 12:32:12","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_21082025123056_Eternalresultssigned.pdf"
"ETERNAL","ETERNAL LIMITED","Action(s) taken or orders passed","Eternal Limited has informed the exchange regarding order received from Deputy Commissioner, State Tax, Lucknow, Uttar Pradesh.","19-Aug-2025 20:26:17","2025-08-19 20:26:17","19-Aug-2025 20:26:18","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_19082025202604_FinalIntimationUPOrder19August2025signed.pdf"
"ETERNAL","ETERNAL LIMITED","Shareholders meeting","Eternal Limited has informed the Exchange regarding proceedings of 15th Annual General Meeting of the Company held on August 19, 2025.","19-Aug-2025 20:16:49","2025-08-19 20:16:49","19-Aug-2025 20:16:49","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_19082025201642_EternalAGMproceedingsfinalsigned.pdf"
"ETERNAL","ETERNAL LIMITED","General Updates","ETERNAL LIMITED has informed the Exchange about General Updates","08-Aug-2025 14:01:36","2025-08-08 14:01:36","08-Aug-2025 14:01:37","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_08082025140111_Malaysiasigneddisclosure2025.pdf"
"ETERNAL","ETERNAL LIMITED","General Updates","Eternal Limited has informed the exchange regarding order received from Deputy Commissioner, State Tax, Lucknow, Uttar Pradesh","07-Aug-2025 13:45:10","2025-08-07 13:45:10","07-Aug-2025 13:45:12","00:00:02","https://nsearchives.nseindia.com/corporate/ZOMATO_07082025134445_EternalOrderfilingsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Copy of Newspaper Publication","Eternal Limited has informed Exchange about Newspaper Advertisement regarding 15th Annual General Meeting of the Company and other information","26-Jul-2025 13:58:18","2025-07-26 13:58:18","26-Jul-2025 13:58:19","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_26072025135804_IntimationPostNPAdsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","Eternal Limited has filed with exchange transcript of earnings conference call conducted on July 21, 2025","25-Jul-2025 22:32:26","2025-07-25 22:32:26","25-Jul-2025 22:32:27","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_25072025223203_TranscriptfilingsignedJuly2025.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Eternal Limited has informed the stock exchange regarding dispatch of physical communication to shareholders who have not registered their email address.","25-Jul-2025 13:08:09","2025-07-25 13:08:09","25-Jul-2025 13:08:09","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_25072025130557_Intimationphysicallettersigned.pdf"
"ETERNAL","ETERNAL LIMITED","Shareholders meeting","Eternal Limited has informed the Exchange regarding notice of 15th annual general meeting to be held on August 19, 2025","24-Jul-2025 20:21:07","2025-07-24 20:21:07","24-Jul-2025 20:21:07","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_24072025202057_EternalNoticeAnnual_Report202425Signed.pdf"
"ETERNAL","ETERNAL LIMITED","Copy of Newspaper Publication","Eternal Limited has filed with the exchange copy of newspaper publication","24-Jul-2025 15:02:59","2025-07-24 15:02:59","24-Jul-2025 15:03:01","00:00:02","https://nsearchives.nseindia.com/corporate/ZOMATO_24072025150053_PreAdFilingsigned123.pdf"
"ETERNAL","ETERNAL LIMITED","Monitoring Agency Report","Eternal Limited has filed with exchange monitoring agency report for the quarter ended June 30, 2025","21-Jul-2025 18:49:34","2025-07-21 18:49:34","21-Jul-2025 18:49:35","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_21072025184912_MonitoringAgencyreportsignedReport123.pdf"
"ETERNAL","ETERNAL LIMITED","Outcome of Board Meeting","ETERNAL LIMITED has informed the Exchange regarding  Board meeting held on July 21, 2025.","21-Jul-2025 15:21:09","2025-07-21 15:21:09","21-Jul-2025 15:21:10","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_21072025152046_ZomatoBoardOutcomeSigned.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","ETERNAL LIMITED has informed the Exchange regarding 'shareholders letter'.","21-Jul-2025 15:18:39","2025-07-21 15:18:39","21-Jul-2025 15:18:39","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_21072025151833_ShareholderLetterSigned.pdf"
