"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"NESTLEIND","Nestle India Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Nestle India Limited has informed the Exchange about Certificate under Regulation 74 (5) of the SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 30th September 2025","08-Oct-2025 13:03:23","2025-10-08 13:03:23","08-Oct-2025 13:03:24","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_08102025130231_STXintimationCertificate745Q2FY202526signed.pdf"
"NESTLEIND","Nestle India Limited","Updates","Nestle India Limited has informed the Exchange regarding 'Re-lodgement of Transfer Requests of Physical Shares'.","06-Oct-2025 18:20:34","2025-10-06 18:20:34","06-Oct-2025 18:20:34","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_06102025181734_STXRelodgementofTransferRequestsofPhysicalSharessept2025signed.pdf"
"NESTLEIND","Nestle India Limited","Copy of Newspaper Publication","Nestle India Limited has informed the Exchange about Copy of Newspaper Publication - Notice to the shareholders for transfer of equity shares of the Company","02-Oct-2025 17:49:19","2025-10-02 17:49:19","02-Oct-2025 17:49:20","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_02102025174212_NewspaperAdvSTXsigned.pdf"
"NESTLEIND","Nestle India Limited","Capacity addition","Nestle India Limited has informed the Exchange about addition of a new Maggi Noodles production line at the Sanand Factory, Gujarat","01-Oct-2025 22:33:07","2025-10-01 22:33:07","01-Oct-2025 22:33:08","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_01102025223055_NestleIndiaIntimationReCapacityAdditionatSanandFactorysigned.pdf"
"NESTLEIND","Nestle India Limited","Updates","Nestle India Limited has informed the Exchange regarding Press Note titled  Nestle India signs MOU with Ministry of Food Processing Industries at World Food India Summit .","30-Sep-2025 19:14:15","2025-09-30 19:14:15","30-Sep-2025 19:14:16","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_30092025190905_PressNoteMOU30thSep2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about update on one-on-one meet(s) with institutional investor(s) held on 29th September 2025","29-Sep-2025 15:58:08","2025-09-29 15:58:08","29-Sep-2025 15:58:08","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_29092025155732_InvestorMeetOutcome29Sep2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Nomination of Mr. Mandeep Chhatwal as non-executive director w.e.f. 1st January 2026, subject to approvals","26-Sep-2025 21:37:24","2025-09-26 21:37:24","26-Sep-2025 21:37:25","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_26092025213446_STXINTIMATION26092025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about update on a one-on-one meet (virtual) with an institutional investor held on 25th September 2025","25-Sep-2025 13:45:58","2025-09-25 13:45:58","25-Sep-2025 13:45:59","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_25092025134541_InvestorMeetOutcome25Sep2025signed.pdf"
"NESTLEIND","Nestle India Limited","Trading Window","Nestle India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","25-Sep-2025 13:12:03","2025-09-25 13:12:03","25-Sep-2025 13:12:04","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_25092025131118_TradingWindowClosureSEintimationsigned.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about intimation of one-on-one meet(s) with institutional investor(s) scheduled on 29th September 2025","24-Sep-2025 18:43:19","2025-09-24 18:43:19","24-Sep-2025 18:43:21","00:00:02","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24092025184248_InstitutionalInvestorsMeet29Sep2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about update on a one-on-one meet (virtual) with an institutional investor held on 23rd September 2025","23-Sep-2025 18:52:58","2025-09-23 18:52:58","23-Sep-2025 18:52:59","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_23092025185101_InvestorMeetOutcome23Sep2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about update on a one-on-one meet with an analyst held on 23rd September 2025 at 10:00 A.M. (IST)","23-Sep-2025 12:06:41","2025-09-23 12:06:41","23-Sep-2025 12:06:43","00:00:02","https://nsearchives.nseindia.com/corporate/NESTLEIND1_23092025120522_AnalystMeetOutcome23Sep2025signed.pdf"
