"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Adani Enterprises Limited","73.97","26.03","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489673_21072025075119_WEB.xml","21-JUL-2025 19:51:25","21-JUL-2025 19:51:30","00:00:05"
"Adani Enterprises Limited","73.97","26.03","0","-","31-MAR-2025","10-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196798_1412032_10042025072608_WEB.xml","10-APR-2025 19:26:09","10-APR-2025 19:26:13","00:00:04"
"Adani Enterprises Limited","73.97","26.03","0","-","31-DEC-2024","11-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194363_1342852_11012025025121_WEB.xml","11-JAN-2025 14:51:22","11-JAN-2025 14:51:26","00:00:04"
"Adani Enterprises Limited","74.89","25.11","0","-","30-SEP-2024","10-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191592_1265537_10102024091810_WEB.xml","10-OCT-2024 21:18:11","10-OCT-2024 21:18:15","00:00:04"
"Adani Enterprises Limited","74.72","25.28","0","-","30-JUN-2024","11-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189149_1181078_11072024074809_WEB.xml","11-JUL-2024 19:48:11","11-JUL-2024 19:48:15","00:00:04"
"Adani Enterprises Limited","72.61","27.39","0","-","31-MAR-2024","10-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186209_1086224_10042024032344_WEB.xml","10-APR-2024 15:23:45","10-APR-2024 15:25:07","00:01:22"
"Adani Enterprises Limited","72.61","27.39","0","-","31-DEC-2023","13-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184090_1019864_13012024121418_WEB.xml","13-JAN-2024 12:14:20",,"::"
"Adani Enterprises Limited","72.61","27.39","0","-","30-SEP-2023","18-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182151_958020_18102023041315_WEB.xml","18-OCT-2023 16:13:17","18-OCT-2023 16:15:42","00:02:25"
"Adani Enterprises Limited","67.65","32.35","0","-","30-JUN-2023","14-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178952_885069_14072023050127_WEB.xml","14-JUL-2023 17:01:29","14-JUL-2023 17:15:06","00:13:37"
"Adani Enterprises Limited","69.23","30.77","0","-","31-MAR-2023","10-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176070_813091_10042023060854_WEB.xml","10-APR-2023 18:08:55","10-APR-2023 18:15:08","00:06:13"
