"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Adani Ports and Special Economic Zone Limited","65.89","34.11","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489641_21072025074034_WEB.xml","21-JUL-2025 19:40:40","21-JUL-2025 19:40:45","00:00:05"
"Adani Ports and Special Economic Zone Limited","65.89","34.11","0","-","31-MAR-2025","10-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196800_1412088_10042025091441_WEB.xml","10-APR-2025 21:14:42","10-APR-2025 21:14:46","00:00:04"
"Adani Ports and Special Economic Zone Limited","65.89","34.11","0","-","31-DEC-2024","10-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194296_1342155_10012025050607_WEB.xml","10-JAN-2025 17:06:08","10-JAN-2025 17:06:12","00:00:04"
"Adani Ports and Special Economic Zone Limited","65.89","34.11","0","-","30-SEP-2024","10-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191491_1264351_10102024012135_WEB.xml","10-OCT-2024 13:21:37","10-OCT-2024 13:21:41","00:00:04"
"Adani Ports and Special Economic Zone Limited","65.89","34.11","0","-","30-JUN-2024","13-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189367_1184104_13072024074241_WEB.xml","13-JUL-2024 19:42:43","13-JUL-2024 19:42:48","00:00:05"
"Adani Ports and Special Economic Zone Limited","65.89","34.11","0","-","31-MAR-2024","11-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186301_1087372_11042024103047_WEB.xml","11-APR-2024 10:30:49","11-APR-2024 10:35:04","00:04:15"
"Adani Ports and Special Economic Zone Limited","65.89","34.11","0","-","31-DEC-2023","09-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183551_1013181_09012024105143_WEB.xml","09-JAN-2024 22:51:44","09-JAN-2024 22:55:04","00:03:20"
"Adani Ports and Special Economic Zone Limited","65.53","34.47","0","-","30-SEP-2023","10-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180878_944765_10102023123453_WEB.xml","10-OCT-2023 12:34:54","10-OCT-2023 12:45:07","00:10:13"
"Adani Ports and Special Economic Zone Limited","62.89","37.11","0","-","30-JUN-2023","21-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180240_897776_21072023054752_WEB.xml","21-JUL-2023 17:47:54","21-JUL-2023 18:00:02","00:12:08"
"Adani Ports and Special Economic Zone Limited","61.03","38.97","0","Revised","31-MAR-2023","10-APR-2023","14-JUN-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_176043_812673_10042023042425_WEB.xml","15-JUN-2023 10:45:23","15-JUN-2023 11:00:33","00:15:10"
