"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Apollo Hospitals Enterprise Limited","0.28","0.72","0","-","30-SEP-2025","08-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1542530_08102025034700_WEB.xml","08-OCT-2025 15:47:08","08-OCT-2025 15:47:12","00:00:04"
"Apollo Hospitals Enterprise Limited","29.34","70.66","0","-","30-JUN-2025","08-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1478621_08072025032200_WEB.xml","08-JUL-2025 15:22:07","08-JUL-2025 15:22:13","00:00:06"
"Apollo Hospitals Enterprise Limited","29.34","70.66","0","-","31-MAR-2025","10-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196718_1411557_10042025022517_WEB.xml","10-APR-2025 14:25:19","10-APR-2025 14:25:22","00:00:03"
"Apollo Hospitals Enterprise Limited","29.33","70.67","0","-","31-DEC-2024","16-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194792_1346804_16012025104509_WEB.xml","16-JAN-2025 10:45:11","16-JAN-2025 10:45:15","00:00:04"
"Apollo Hospitals Enterprise Limited","29.33","70.67","0","-","30-SEP-2024","09-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191373_1263042_09102024025509_WEB.xml","09-OCT-2024 14:55:10","09-OCT-2024 14:55:14","00:00:04"
"Apollo Hospitals Enterprise Limited","29.33","70.67","0","-","30-JUN-2024","09-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188834_1176041_09072024024959_WEB.xml","09-JUL-2024 14:50:01","09-JUL-2024 14:50:04","00:00:03"
"Apollo Hospitals Enterprise Limited","29.33","70.67","0","-","31-MAR-2024","08-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185949_1082833_08042024112500_WEB.xml","08-APR-2024 11:25:02","08-APR-2024 11:30:04","00:05:02"
"Apollo Hospitals Enterprise Limited","29.33","70.67","0","-","31-DEC-2023","05-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183243_1008394_05012024023758_WEB.xml","05-JAN-2024 14:37:59","05-JAN-2024 14:40:04","00:02:05"
"Apollo Hospitals Enterprise Limited","29.33","70.67","0","-","30-SEP-2023","05-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180558_940715_05102023034150_WEB.xml","05-OCT-2023 15:41:52","05-OCT-2023 15:45:04","00:03:12"
"Apollo Hospitals Enterprise Limited","29.33","70.67","0","-","30-JUN-2023","10-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178427_877788_10072023025525_WEB.xml","10-JUL-2023 14:55:26","10-JUL-2023 15:00:13","00:04:47"
