"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Asian Paints Limited","52.63","47.31","0.07","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489197_21072025054815_WEB.xml","21-JUL-2025 17:48:23","21-JUL-2025 17:48:28","00:00:05"
"Asian Paints Limited","52.63","47.33","0.05","-","31-MAR-2025","18-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198200_1419133_18042025062637_WEB.xml","18-APR-2025 18:26:39","18-APR-2025 18:26:42","00:00:03"
"Asian Paints Limited","52.63","47.32","0.05","-","31-DEC-2024","15-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194742_1346213_15012025045153_WEB.xml","15-JAN-2025 16:51:55","15-JAN-2025 16:51:59","00:00:04"
"Asian Paints Limited","52.63","47.32","0.05","-","30-SEP-2024","18-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192896_1277827_18102024043444_WEB.xml","18-OCT-2024 16:34:46","18-OCT-2024 16:34:50","00:00:04"
"Asian Paints Limited","52.63","47.32","0.06","-","30-JUN-2024","15-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189387_1184248_15072024104141_WEB.xml","15-JUL-2024 10:41:43","15-JUL-2024 10:41:47","00:00:04"
"Asian Paints Limited","52.63","47.34","0.04","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187591_1098999_18042024055056_WEB.xml","18-APR-2024 17:50:58","18-APR-2024 17:55:11","00:04:13"
"Asian Paints Limited","52.63","47.34","0.04","-","31-DEC-2023","16-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184430_1023847_16012024103724_WEB.xml","16-JAN-2024 22:37:26","16-JAN-2024 22:40:04","00:02:38"
"Asian Paints Limited","52.63","47.34","0.04","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182823_964447_20102023094603_WEB.xml","07-NOV-2023 16:25:48","07-NOV-2023 16:30:04","00:04:16"
"Asian Paints Limited","52.63","47.34","0.04","Revised","30-JUN-2023","19-JUL-2023","20-OCT-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_179810_893688_19072023094620_WEB.xml","13-NOV-2023 10:28:51","13-NOV-2023 10:30:04","00:01:13"
"Asian Paints Limited","52.63","47.34","0.04","-","31-MAR-2023","18-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177281_824723_18042023115359_WEB.xml","19-APR-2023 07:10:02","19-APR-2023 08:15:04","01:05:02"
"Asian Paints Limited","52.63","47.34","0.04","-","31-DEC-2022","19-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175121_774186_19012023110137_WEB.xml","20-JAN-2023 07:10:06",,"::"
"Asian Paints Limited","52.63","47.34","0.04","-","30-SEP-2022","21-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172897_739954_21102022043230_WEB.xml","21-OCT-2022 16:40:38",,"::"
"Asian Paints Limited","52.63","47.34","0.04","Revised","30-JUN-2022","21-JUL-2022","07-SEP-2022","https://nsearchives.nseindia.com/corporate/xbrl/SHP_170698_700062_21072022080700_WEB.xml","30-SEP-2022 16:40:02",,"::"
"Asian Paints Limited","52.63","47.35","0.02","-","31-MAR-2022","21-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168305_646802_21042022082654_WEB.xml","21-APR-2022 20:40:37",,"::"
"Asian Paints Limited","52.63","47.35","0.02","-","31-DEC-2021","18-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_165071_592646_18012022111345_WEB.xml","18-JAN-2022 23:40:05",,"::"
"Asian Paints Limited","52.79","47.18","0.02","Revised","30-SEP-2021","21-OCT-2021","26-OCT-2021","https://nsearchives.nseindia.com/corporate/xbrl/SHP_163178_544360_21102021091542_WEB.xml","07-JAN-2022 02:55:01",,"::"
"Asian Paints Limited","52.79","47.21","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_160011_490542_19072021092731_WEB.xml","19-JUL-2021 21:40:10",,"::"
"Asian Paints Limited","52.79","47.21","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_158239_442665_21042021085802_WEB.xml","21-APR-2021 21:10:07",,"::"
"Asian Paints Limited","52.79","47.21","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_155530_397111_21012021070705_WEB.xml","21-JAN-2021 19:10:05",,"::"
"Asian Paints Limited","52.79","47.21","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_153187_348906_21102020062134_WEB.xml","21-OCT-2020 18:40:15",,"::"
"Asian Paints Limited","52.79","47.21","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150611_294606_21072020080026_WEB.xml","21-JUL-2020 20:10:04",,"::"
"Asian Paints Limited","52.79","47.21","0","Revised","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_147118_246434_30042020101402_WEB.xml","17-JUL-2020 10:10:03",,"::"
"Asian Paints Limited","52.79","47.21","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145607_209032_21012020071116_WEB.xml","21-JAN-2020 20:40:02",,"::"
"Asian Paints Limited","52.79","47.21","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_143205_155800_21102019052452_WEB.xml","24-OCT-2019 14:56:40",,"::"
"Asian Paints Limited","52.79","47.21","0","Revised","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_140093_122558_20072019031909_WEB.xml","30-JUL-2019 15:10:04",,"::"
"Asian Paints Limited","52.79","47.21","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136091_97083_18042019104419_WEB.xml","18-APR-2019 23:10:04",,"::"
"Asian Paints Limited","52.79","47.21","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_133696_74170_17012019064836_WEB.xml","17-JAN-2019 19:10:07",,"::"
"Asian Paints Limited","52.79","47.21","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_132023_53436_20102018113628_WEB.xml","20-OCT-2018 11:40:12",,"::"
"Asian Paints Limited","52.79","47.21","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_128437_25805_18072018034939_WEB.xml","18-JUL-2018 16:10:12",,"::"
"Asian Paints Limited","52.79","47.21","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_6683_20042018080201.xml","20-APR-2018 20:10:06",,"::"
"Asian Paints Limited","52.79","47.21","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-JAN-2018 20:10:06",,"::"
"Asian Paints Limited","52.79","47.21","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-OCT-2017 19:10:02",,"::"
"Asian Paints Limited","52.79","47.21","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-JUL-2017 19:10:01",,"::"
"Asian Paints Limited","52.79","47.21","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-APR-2017 20:10:01",,"::"
"Asian Paints Limited","52.79","47.21","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","13-JAN-2017 18:10:01",,"::"
