"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Bajaj Auto Limited","55.04","44.93","0.03","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488211_21072025100758_WEB.xml","21-JUL-2025 10:08:06","21-JUL-2025 10:08:10","00:00:04"
"Bajaj Auto Limited","55.04","44.92","0.04","Revised","31-MAR-2025","21-APR-2025","23-MAY-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_198621_1448905_23052025054327_WEB.xml","26-MAY-2025 13:05:13","26-MAY-2025 13:05:17","00:00:04"
"Bajaj Auto Limited","55.04","44.96","0","Revised","31-DEC-2024","21-JAN-2025","30-APR-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_195984_1429350_30042025054528_WEB.xml","30-APR-2025 18:13:31","30-APR-2025 18:13:34","00:00:03"
"Bajaj Auto Limited","55.04","44.96","0","Revised","30-SEP-2024","21-OCT-2024","06-JAN-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_193440_1337715_06012025105823_WEB.xml","03-FEB-2025 15:45:12","03-FEB-2025 15:45:17","00:00:05"
"Bajaj Auto Limited","55.06","44.94","0","Revised","30-JUN-2024","17-JUL-2024","03-JAN-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_189803_1337081_03012025024710_WEB.xml","06-JAN-2025 10:52:45","06-JAN-2025 10:52:48","00:00:03"
"Bajaj Auto Limited","55.06","44.94","0","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187903_1101644_19042024051732_WEB.xml","19-APR-2024 17:17:34","19-APR-2024 17:20:17","00:02:43"
"Bajaj Auto Limited","54.94","45.06","0","-","31-DEC-2023","05-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183240_1008375_05012024021531_WEB.xml","05-JAN-2024 14:15:33","05-JAN-2024 14:20:04","00:04:31"
"Bajaj Auto Limited","54.98","45.02","0","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182712_963234_20102023044632_WEB.xml","20-OCT-2023 16:46:34","20-OCT-2023 16:50:09","00:03:35"
"Bajaj Auto Limited","54.99","45.01","0","-","30-JUN-2023","21-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180252_897928_21072023062824_WEB.xml","21-JUL-2023 18:28:26","21-JUL-2023 18:30:34","00:02:08"
"Bajaj Auto Limited","54.98","45.02","0","-","31-MAR-2023","21-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177948_830457_21042023040153_WEB.xml","21-APR-2023 16:01:55","21-APR-2023 16:15:03","00:13:08"
