"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Bajaj Finserv Limited","58.81","41.09","0.1","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489909_21072025100728_WEB.xml","21-JUL-2025 22:07:37","21-JUL-2025 22:07:43","00:00:06"
"Bajaj Finserv Limited","60.64","39.25","0.1","-","31-MAR-2025","19-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198497_1420256_19042025073856_WEB.xml","19-APR-2025 19:38:57","19-APR-2025 19:39:01","00:00:04"
"Bajaj Finserv Limited","60.64","39.24","0.12","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195516_1352327_20012025032831_WEB.xml","20-JAN-2025 15:28:33","20-JAN-2025 15:28:37","00:00:04"
"Bajaj Finserv Limited","60.64","39.22","0.14","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192683_1276115_17102024084922_WEB.xml","17-OCT-2024 20:49:23","17-OCT-2024 20:49:27","00:00:04"
"Bajaj Finserv Limited","60.64","39.17","0.19","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190190_1193397_19072024112711_WEB.xml","19-JUL-2024 11:27:13","19-JUL-2024 11:27:18","00:00:05"
"Bajaj Finserv Limited","60.69","39.13","0.18","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187652_1099576_18042024080818_WEB.xml","18-APR-2024 20:08:19","18-APR-2024 20:10:14","00:01:55"
"Bajaj Finserv Limited","60.69","39.1","0.21","Revised","31-DEC-2023","19-JAN-2024","22-MAY-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_185065_1030085_19012024054913_WEB.xml","22-MAY-2024 19:04:39","22-MAY-2024 19:05:06","00:00:27"
"Bajaj Finserv Limited","60.69","39.07","0.25","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182808_964333_20102023082531_WEB.xml","20-OCT-2023 20:25:33","20-OCT-2023 20:30:32","00:04:59"
"Bajaj Finserv Limited","60.79","39.11","0.1","-","30-JUN-2023","20-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180076_896223_20072023094949_WEB.xml","20-JUL-2023 21:49:50","20-JUL-2023 22:00:32","00:10:42"
"Bajaj Finserv Limited","60.79","39.08","0.13","Revised","31-MAR-2023","21-APR-2023","30-MAY-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_177922_830099_21042023015848_WEB.xml","31-MAY-2023 14:41:24","31-MAY-2023 14:45:03","00:03:39"
"Bajaj Finserv Limited","60.75","39.11","0.14","Revised","31-DEC-2022","21-JAN-2023","09-MAY-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_175470_776898_21012023032824_WEB.xml","31-MAY-2023 14:41:35","31-MAY-2023 14:45:05","00:03:30"
