"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Bajaj Finance Limited","54.73","45.24","0.03","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489933_21072025104734_WEB.xml","21-JUL-2025 22:47:41","21-JUL-2025 22:47:45","00:00:04"
"Bajaj Finance Limited","54.73","45.23","0.04","-","17-JUN-2025","24-JUN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_199080_1470050_24062025105707_WEB.xml","24-JUN-2025 10:57:08","24-JUN-2025 10:57:13","00:00:05"
"Bajaj Finance Limited","54.73","45.17","0.1","-","31-MAR-2025","16-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197534_1416325_16042025065739_WEB.xml","16-APR-2025 18:57:40","16-APR-2025 18:57:43","00:00:03"
"Bajaj Finance Limited","54.7","45.27","0.04","-","31-DEC-2024","15-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194782_1346603_15012025065008_WEB.xml","15-JAN-2025 18:50:09","15-JAN-2025 18:50:13","00:00:04"
"Bajaj Finance Limited","54.7","45.25","0.05","-","30-SEP-2024","19-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193145_1279966_19102024023923_WEB.xml","19-OCT-2024 14:39:24","19-OCT-2024 14:39:28","00:00:04"
"Bajaj Finance Limited","54.7","45.22","0.08","-","30-JUN-2024","15-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189522_1186170_15072024082127_WEB.xml","15-JUL-2024 20:21:28","15-JUL-2024 20:21:33","00:00:05"
"Bajaj Finance Limited","54.69","45.15","0.16","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187793_1100687_19042024031014_WEB.xml","19-APR-2024 15:10:16","19-APR-2024 15:15:12","00:04:56"
"Bajaj Finance Limited","54.78","45.17","0.05","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185041_1029893_19012024052403_WEB.xml","19-JAN-2024 17:24:05","19-JAN-2024 17:30:04","00:05:59"
"Bajaj Finance Limited","54.78","45.14","0.09","-","09-NOV-2023","13-NOV-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183053_987689_13112023062126_WEB.xml","13-NOV-2023 18:21:27","13-NOV-2023 18:25:03","00:03:36"
"Bajaj Finance Limited","55.87","44.03","0.1","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182813_964385_20102023091139_WEB.xml","20-OCT-2023 21:11:40","20-OCT-2023 21:15:03","00:03:23"
