"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Bharat Electronics Limited","51.14","48.86","0","-","30-JUN-2025","11-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1481019_11072025050154_WEB.xml","11-JUL-2025 17:01:56","11-JUL-2025 17:02:01","00:00:05"
"Bharat Electronics Limited","51.14","48.86","0","-","31-MAR-2025","10-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196770_1411814_10042025050311_WEB.xml","10-APR-2025 17:03:12","10-APR-2025 17:03:15","00:00:03"
"Bharat Electronics Limited","51.14","48.86","0","-","31-DEC-2024","17-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194971_1348331_17012025092311_WEB.xml","17-JAN-2025 09:23:12","17-JAN-2025 09:23:15","00:00:03"
"Bharat Electronics Limited","51.14","48.86","0","-","30-SEP-2024","10-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191543_1264834_10102024043306_WEB.xml","10-OCT-2024 16:33:07","10-OCT-2024 16:33:10","00:00:03"
"Bharat Electronics Limited","51.14","48.86","0","-","30-JUN-2024","11-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189123_1180571_11072024053122_WEB.xml","11-JUL-2024 17:31:23","11-JUL-2024 17:31:27","00:00:04"
"Bharat Electronics Limited","51.14","48.86","0","-","31-MAR-2024","12-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186520_1089953_12042024052205_WEB.xml","12-APR-2024 17:22:05","12-APR-2024 17:25:04","00:02:59"
"Bharat Electronics Limited","51.14","48.86","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185105_1030340_19012024062816_WEB.xml","19-JAN-2024 18:28:17","19-JAN-2024 18:30:16","00:01:59"
"Bharat Electronics Limited","51.14","48.86","0","-","30-SEP-2023","11-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181132_947614_11102023052635_WEB.xml","11-OCT-2023 17:26:36","11-OCT-2023 17:30:21","00:03:45"
"Bharat Electronics Limited","51.14","48.86","0","-","30-JUN-2023","10-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178473_878392_10072023055549_WEB.xml","10-JUL-2023 17:55:49","10-JUL-2023 18:00:38","00:04:49"
"Bharat Electronics Limited","51.14","48.86","0","-","31-MAR-2023","13-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176549_818417_13042023082044_WEB.xml","13-APR-2023 20:20:44","13-APR-2023 20:30:02","00:09:18"
"Bharat Electronics Limited","51.14","48.86","0","-","31-DEC-2022","20-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175242_774995_20012023031225_WEB.xml","20-JAN-2023 15:40:10",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172268_736607_20102022034400_WEB.xml","20-OCT-2022 16:10:35",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","19-SEP-2022","23-SEP-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170944_713717_23092022104549_WEB.xml","23-SEP-2022 11:10:02",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","30-JUN-2022","20-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170460_697941_20072022062425_WEB.xml","20-JUL-2022 18:40:17",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","31-MAR-2022","19-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167749_641817_19042022070307_WEB.xml","19-APR-2022 19:10:29",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","31-DEC-2021","11-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164139_583524_11012022062051_WEB.xml","11-JAN-2022 18:40:09",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","30-SEP-2021","12-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161598_530452_12102021064905_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159186_482261_13072021071435_WEB.xml","13-JUL-2021 19:40:07",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156265_425822_08042021071715_WEB.xml","08-APR-2021 19:40:07",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_154031_384039_11012021074058_WEB.xml","11-JAN-2021 20:10:07",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_151664_337368_13102020074810_WEB.xml","13-OCT-2020 20:10:05",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150097_291999_20072020032808_WEB.xml","20-JUL-2020 15:40:05",,"::"
"Bharat Electronics Limited","51.14","48.86","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_147112_246269_30042020071421_WEB.xml","30-APR-2020 19:40:02",,"::"
"Bharat Electronics Limited","55.27","44.73","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145530_207114_20012020054421_WEB.xml","20-JAN-2020 18:10:05",,"::"
"Bharat Electronics Limited","55.93","44.07","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142413_152596_17102019072754_WEB.xml","17-OCT-2019 19:40:02",,"::"
"Bharat Electronics Limited","58.83","41.17","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_138195_111934_08072019065944_WEB.xml","08-JUL-2019 19:10:03",,"::"
"Bharat Electronics Limited","58.83","41.17","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_135906_90242_10042019070123_WEB.xml","10-APR-2019 19:10:05",,"::"
"Bharat Electronics Limited","61.93","38.07","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_132912_67095_09012019034153_WEB.xml","09-JAN-2019 16:10:07",,"::"
"Bharat Electronics Limited","66.09","33.91","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_129877_43817_09102018093618_WEB.xml","09-OCT-2018 09:40:06",,"::"
"Bharat Electronics Limited","66.01","33.99","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126931_18553_09072018022809_WEB.xml","09-JUL-2018 14:40:09",,"::"
"Bharat Electronics Limited","66.79","33.21","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-APR-2018 18:40:04",,"::"
"Bharat Electronics Limited","66.72","33.28","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","11-JAN-2018 16:40:03",,"::"
"Bharat Electronics Limited","67.94","32.06","0","-","03-OCT-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","04-OCT-2017 10:10:06",,"::"
"Bharat Electronics Limited","67.94","32.06","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-OCT-2017 16:10:02",,"::"
"Bharat Electronics Limited","68.19","31.81","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","13-JUL-2017 15:10:02",,"::"
"Bharat Electronics Limited","68.19","31.81","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-APR-2017 21:10:02",,"::"
"Bharat Electronics Limited","74.41","25.59","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-JAN-2017 14:10:01",,"::"
"Bharat Electronics Limited","74.41","25.59","0","-","02-NOV-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","11-NOV-2016 10:10:01",,"::"
"Bharat Electronics Limited","75.02","24.98","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-OCT-2016 15:10:01",,"::"
"Bharat Electronics Limited","75.02","24.98","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","14-JUL-2016 11:10:01",,"::"
