"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Bharti Airtel Limited","51.25","48.68","0.07","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489832_21072025090547_WEB.xml","21-JUL-2025 21:05:52","21-JUL-2025 21:05:56","00:00:04"
"Bharti Airtel Limited","52.42","47.51","0.07","-","31-MAR-2025","19-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198344_1419722_19042025011121_WEB.xml","19-APR-2025 13:11:22","19-APR-2025 13:11:26","00:00:04"
"Bharti Airtel Limited","53.11","46.81","0.07","-","31-DEC-2024","17-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195089_1349143_17012025033836_WEB.xml","17-JAN-2025 15:38:37","17-JAN-2025 15:38:41","00:00:04"
"Bharti Airtel Limited","53.14","46.8","0.07","Revised","30-SEP-2024","18-OCT-2024","18-MAR-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_192811_1397055_18032025015053_WEB.xml","20-MAR-2025 11:10:06","20-MAR-2025 11:10:11","00:00:05"
"Bharti Airtel Limited","53.17","46.77","0.06","-","30-JUN-2024","15-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189458_1185151_15072024041339_WEB.xml","15-JUL-2024 16:13:40","15-JUL-2024 16:13:43","00:00:03"
"Bharti Airtel Limited","53.49","46.46","0.05","-","31-MAR-2024","20-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188183_1104008_20042024035858_WEB.xml","20-APR-2024 15:58:59",,"::"
"Bharti Airtel Limited","54.57","45.38","0.06","-","31-DEC-2023","16-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184300_1022352_16012024125633_WEB.xml","16-JAN-2024 12:56:35","16-JAN-2024 13:00:04","00:03:29"
"Bharti Airtel Limited","54.75","45.21","0.04","Revised","30-SEP-2023","20-OCT-2023","21-OCT-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_182826_964460_20102023100906_WEB.xml","21-OCT-2023 18:52:08","21-OCT-2023 18:55:02","00:02:54"
"Bharti Airtel Limited","54.97","44.99","0.05","-","30-JUN-2023","20-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179885_894437_20072023015855_WEB.xml","20-JUL-2023 13:58:56","20-JUL-2023 14:00:04","00:01:08"
"Bharti Airtel Limited","55.02","44.93","0.05","-","31-MAR-2023","18-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177246_824270_18042023060045_WEB.xml","18-APR-2023 18:00:46","18-APR-2023 18:15:32","00:14:46"
"Bharti Airtel Limited","55.12","44.82","0.05","-","31-DEC-2022","20-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175388_776218_20012023081554_WEB.xml","20-JAN-2023 20:40:15",,"::"
"Bharti Airtel Limited","55.13","44.82","0.04","-","30-SEP-2022","21-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173130_741017_21102022082532_WEB.xml","21-OCT-2022 20:40:09",,"::"
"Bharti Airtel Limited","55.93","44.02","0.05","-","30-JUN-2022","21-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170565_698905_21072022011946_WEB.xml","21-JUL-2022 13:40:10",,"::"
"Bharti Airtel Limited","55.93","44.02","0.05","-","31-MAR-2022","21-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168238_646177_21042022050619_WEB.xml","21-APR-2022 17:10:37",,"::"
"Bharti Airtel Limited","55.93","44.02","0.05","-","31-DEC-2021","21-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_165599_597485_21012022072943_WEB.xml","21-JAN-2022 19:40:12",,"::"
"Bharti Airtel Limited","55.93","44.02","0.05","-","27-OCT-2021","07-NOV-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_163253_552138_07112021124623_WEB.xml","07-JAN-2022 03:10:01",,"::"
"Bharti Airtel Limited","55.86","44.1","0.05","-","30-SEP-2021","21-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_163187_544432_21102021101302_WEB.xml","07-JAN-2022 02:55:01",,"::"
"Bharti Airtel Limited","55.86","44.09","0.06","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_160328_492518_20072021082203_WEB.xml","20-JUL-2021 20:40:14",,"::"
"Bharti Airtel Limited","55.86","44.08","0.06","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_158016_441617_20042021101416_WEB.xml","20-APR-2021 22:40:11",,"::"
"Bharti Airtel Limited","56.23","43.71","0.06","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_155368_396031_20012021103540_WEB.xml","20-JAN-2021 22:40:07",,"::"
"Bharti Airtel Limited","56.23","43.74","0.03","Revised","30-SEP-2020","20-OCT-2020","21-OCT-2021","https://nsearchives.nseindia.com/corporate/xbrl/SHP_152962_347717_20102020103607_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Bharti Airtel Limited","56.23","43.73","0.04","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150614_294619_21072020081030_WEB.xml","21-JUL-2020 20:40:03",,"::"
"Bharti Airtel Limited","58.98","40.98","0.04","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_148264_257056_14052020105659_WEB.xml","14-MAY-2020 23:10:03",,"::"
"Bharti Airtel Limited","58.98","40.98","0.04","-","15-JAN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_144807_202643_15012020105004_WEB.xml","15-JAN-2020 23:10:02",,"::"
"Bharti Airtel Limited","62.7","37.26","0.05","Revised","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_143548_185101_06012020125332_WEB.xml","20-JAN-2020 17:10:17",,"::"
"Bharti Airtel Limited","62.7","37.27","0.03","Revised","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_143002_154881_19102019072236_WEB.xml","20-JAN-2020 17:10:17",,"::"
"Bharti Airtel Limited","62.71","37.26","0.03","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_140425_123306_21072019022319_WEB.xml","21-JUL-2019 07:10:10",,"::"
"Bharti Airtel Limited","62.71","37.26","0.03","-","24-MAY-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_137859_104877_28052019013347_WEB.xml","28-MAY-2019 13:40:04",,"::"
"Bharti Airtel Limited","67.14","32.86","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_135788_89598_10042019011133_WEB.xml","10-APR-2019 13:40:05",,"::"
"Bharti Airtel Limited","67.14","32.82","0.04","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_134262_74461_18012019124922_WEB.xml","18-JAN-2019 13:10:13",,"::"
"Bharti Airtel Limited","67.14","32.82","0.04","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_131233_50825_15102018082005_WEB.xml","15-OCT-2018 20:40:06",,"::"
"Bharti Airtel Limited","67.14","32.82","0.04","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_127789_23781_14072018022501_WEB.xml","14-JUL-2018 14:40:08",,"::"
"Bharti Airtel Limited","67.14","32.82","0.04","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_1406_13042018112104.xml","13-APR-2018 11:40:07",,"::"
"Bharti Airtel Limited","67.14","32.82","0.04","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","15-JAN-2018 20:10:04",,"::"
"Bharti Airtel Limited","67.14","32.83","0.03","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","05-OCT-2017 21:40:02",,"::"
"Bharti Airtel Limited","67.14","32.83","0.03","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-JUL-2017 18:40:01",,"::"
"Bharti Airtel Limited","67.14","32.83","0.03","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","07-APR-2017 18:10:01",,"::"
"Bharti Airtel Limited","67.14","32.83","0.03","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","12-JAN-2017 18:10:01",,"::"
"Bharti Airtel Limited","67.14","32.83","0.04","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","08-DEC-2016 17:10:01",,"::"
"Bharti Airtel Limited","66.74","33.21","0.05","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","13-JUL-2016 23:10:01",,"::"
"Bharti Airtel Limited","66.74","33.21","0.05","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-APR-2016 17:15:01",,"::"
"Bharti Airtel Limited","65.62","34.33","0.05","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-JAN-2016 06:15:01",,"::"
"Bharti Airtel Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharti Airtel Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharti Airtel Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharti Airtel Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharti Airtel Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharti Airtel Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharti Airtel Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Bharti Airtel Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
