"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Cipla Limited","29.19","70.81","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489811_21072025085220_WEB.xml","21-JUL-2025 20:52:25","21-JUL-2025 20:52:30","00:00:05"
"Cipla Limited","29.2","70.8","0","-","31-MAR-2025","21-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198794_1421427_21042025050649_WEB.xml","21-APR-2025 17:06:50","21-APR-2025 17:06:54","00:00:04"
"Cipla Limited","29.19","70.81","0","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195757_1353977_20012025085509_WEB.xml","20-JAN-2025 20:55:11","20-JAN-2025 20:55:15","00:00:04"
"Cipla Limited","30.92","69.08","0","-","30-SEP-2024","21-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193566_1283925_21102024074044_WEB.xml","21-OCT-2024 19:40:45","21-OCT-2024 19:40:49","00:00:04"
"Cipla Limited","30.91","69.09","0","-","30-JUN-2024","20-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190671_1197737_20072024050543_WEB.xml","20-JUL-2024 17:05:44","20-JUL-2024 17:05:48","00:00:04"
"Cipla Limited","33.47","66.53","0","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188024_1102766_19042024084143_WEB.xml","19-APR-2024 20:41:45","19-APR-2024 20:45:03","00:03:18"
"Cipla Limited","33.47","66.53","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185149_1030806_19012024090106_WEB.xml","19-JAN-2024 21:01:07","19-JAN-2024 21:05:04","00:03:57"
"Cipla Limited","33.47","66.53","0","-","30-SEP-2023","18-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182146_958002_18102023041018_WEB.xml","18-OCT-2023 16:10:19","18-OCT-2023 16:15:32","00:05:13"
"Cipla Limited","33.47","66.53","0","Revised","30-JUN-2023","10-JUL-2023","21-JUL-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_178393_877313_10072023112202_WEB.xml","21-JUL-2023 16:26:10","21-JUL-2023 16:30:45","00:04:35"
"Cipla Limited","33.55","66.45","0","-","31-MAR-2023","17-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176870_821356_17042023025657_WEB.xml","17-APR-2023 14:56:58","17-APR-2023 15:00:12","00:03:14"
"Cipla Limited","33.61","66.39","0","-","31-DEC-2022","16-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174390_768180_16012023055022_WEB.xml","16-JAN-2023 18:10:17",,"::"
"Cipla Limited","33.61","66.39","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172420_737552_20102022055556_WEB.xml","20-OCT-2022 18:10:49",,"::"
"Cipla Limited","33.61","66.39","0","-","30-JUN-2022","13-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169305_687913_13072022063757_WEB.xml","13-JUL-2022 18:40:14",,"::"
"Cipla Limited","33.63","66.37","0","-","31-MAR-2022","21-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168094_644840_21042022093654_WEB.xml","21-APR-2022 09:41:03",,"::"
"Cipla Limited","36.11","63.89","0","-","31-DEC-2021","17-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164863_590876_17012022091237_WEB.xml","17-JAN-2022 21:40:04",,"::"
"Cipla Limited","36.12","63.88","0","-","30-SEP-2021","14-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161942_533561_14102021063914_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Cipla Limited","36.72","63.28","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159394_484820_15072021114638_WEB.xml","15-JUL-2021 12:10:11",,"::"
"Cipla Limited","36.73","63.27","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_158203_442460_21042021060912_WEB.xml","21-APR-2021 18:10:16",,"::"
"Cipla Limited","36.7","63.3","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_154874_393239_18012021093927_WEB.xml","18-JAN-2021 21:40:05",,"::"
"Cipla Limited","36.7","63.3","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_153205_349011_21102020071527_WEB.xml","21-OCT-2020 19:40:13",,"::"
"Cipla Limited","36.68","63.32","0","Revised","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","04-AUG-2020 13:40:01",,"::"
"Cipla Limited","36.68","63.32","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_148248_256909_14052020091248_WEB.xml","14-MAY-2020 21:40:02",,"::"
"Cipla Limited","36.68","63.32","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145848_209274_22012020125351_WEB.xml","22-JAN-2020 13:10:01",,"::"
"Cipla Limited","36.68","63.32","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_143003_154886_19102019072743_WEB.xml","24-OCT-2019 14:56:40",,"::"
"Cipla Limited","36.7","63.3","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_140414_123266_20072019101237_WEB.xml","20-JUL-2019 22:40:05",,"::"
"Cipla Limited","36.7","63.3","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136859_95578_16042019071457_WEB.xml","16-APR-2019 19:40:07",,"::"
"Cipla Limited","36.7","63.3","0","Revised","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_133973_73616_17012019010927_WEB.xml","14-FEB-2019 11:10:10",,"::"
"Cipla Limited","36.74","63.26","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_131482_51661_16102018083828_WEB.xml","16-OCT-2018 20:40:07",,"::"
"Cipla Limited","36.77","63.23","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_128793_26898_19072018081643_WEB.xml","19-JUL-2018 20:40:07",,"::"
"Cipla Limited","37.21","62.79","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_5374_18042018070243.xml","18-APR-2018 19:10:07",,"::"
