"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Coal India Limited","63.13","36.87","0","-","30-JUN-2025","10-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1480173_10072025044646_WEB.xml","10-JUL-2025 16:46:48","10-JUL-2025 16:46:52","00:00:04"
"Coal India Limited","63.13","36.87","0","-","31-MAR-2025","07-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196406_1409358_07042025042204_WEB.xml","07-APR-2025 16:22:05","07-APR-2025 16:22:09","00:00:04"
"Coal India Limited","63.13","36.87","0","-","31-DEC-2024","08-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193961_1339111_08012025112046_WEB.xml","08-JAN-2025 11:20:47","08-JAN-2025 11:20:51","00:00:04"
"Coal India Limited","63.13","36.87","0","-","30-SEP-2024","08-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191199_1261099_08102024111344_WEB.xml","08-OCT-2024 11:13:46","08-OCT-2024 11:13:49","00:00:03"
"Coal India Limited","63.13","36.87","0","-","30-JUN-2024","09-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188817_1175818_09072024011023_WEB.xml","09-JUL-2024 13:10:24","09-JUL-2024 13:10:28","00:00:04"
"Coal India Limited","63.13","36.87","0","-","31-MAR-2024","05-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185836_1081381_05042024033723_WEB.xml","05-APR-2024 15:37:23","05-APR-2024 15:40:09","00:02:46"
"Coal India Limited","63.13","36.87","0","-","31-DEC-2023","08-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183397_1010723_08012024045116_WEB.xml","08-JAN-2024 16:51:17","08-JAN-2024 16:55:07","00:03:50"
"Coal India Limited","63.13","36.87","0","-","30-SEP-2023","09-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180809_943812_09102023050610_WEB.xml","09-OCT-2023 17:06:11","09-OCT-2023 17:15:15","00:09:04"
"Coal India Limited","63.13","36.87","0","-","30-JUN-2023","11-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178505_878982_11072023120725_WEB.xml","11-JUL-2023 12:07:26","11-JUL-2023 12:15:05","00:07:39"
"Coal India Limited","66.13","33.87","0","-","31-MAR-2023","12-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176314_816044_12042023042714_WEB.xml","12-APR-2023 16:27:15","12-APR-2023 16:30:12","00:02:57"
"Coal India Limited","66.13","33.87","0","-","31-DEC-2022","05-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173418_756163_05012023031150_WEB.xml","05-JAN-2023 15:40:03",,"::"
"Coal India Limited","66.13","33.87","0","-","30-SEP-2022","17-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_171374_729194_17102022034101_WEB.xml","17-OCT-2022 16:10:30",,"::"
"Coal India Limited","66.13","33.87","0","-","30-JUN-2022","05-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168505_679127_05072022024823_WEB.xml","05-JUL-2022 15:10:07",,"::"
"Coal India Limited","66.13","33.87","0","-","31-MAR-2022","12-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_166642_631888_12042022035651_WEB.xml","12-APR-2022 16:10:25",,"::"
"Coal India Limited","66.13","33.87","0","-","31-DEC-2021","07-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_163612_577999_07012022110038_WEB.xml","07-JAN-2022 11:10:08",,"::"
"Coal India Limited","66.13","33.87","0","-","30-SEP-2021","05-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_160815_522633_05102021061751_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Coal India Limited","66.13","33.87","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_158501_473294_05072021043636_WEB.xml","05-JUL-2021 16:40:07",,"::"
"Coal India Limited","66.13","33.87","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156087_424050_07042021040821_WEB.xml","07-APR-2021 16:10:09",,"::"
"Coal India Limited","66.13","33.87","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_153507_377407_06012021104944_WEB.xml","06-JAN-2021 11:10:05",,"::"
"Coal India Limited","66.13","33.87","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150911_327375_06102020030538_WEB.xml","06-OCT-2020 15:10:04",,"::"
"Coal India Limited","66.13","33.87","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_148755_276367_08072020053959_WEB.xml","08-JUL-2020 17:40:02",,"::"
"Coal India Limited","66.13","33.87","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_147097_246035_30042020033607_WEB.xml","30-APR-2020 15:40:02",,"::"
"Coal India Limited","69.05","30.95","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_143576_185593_06012020035536_WEB.xml","06-JAN-2020 16:10:02",,"::"
"Coal India Limited","69.26","30.74","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_141092_142682_10102019125433_WEB.xml","10-OCT-2019 13:10:03",,"::"
"Coal India Limited","70.96","29.04","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_138179_111743_08072019042642_WEB.xml","08-JUL-2019 16:40:05",,"::"
"Coal India Limited","70.96","29.04","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_135699_89546_10042019123939_WEB.xml","10-APR-2019 12:40:08",,"::"
"Coal India Limited","72.91","27.09","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_132749_66214_08012019044714_WEB.xml","08-JAN-2019 17:10:09",,"::"
"Coal India Limited","78.32","21.68","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_129951_44141_09102018011808_WEB.xml","09-OCT-2018 13:40:08",,"::"
"Coal India Limited","78.32","21.68","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126771_17809_06072018032853_WEB.xml","06-JUL-2018 15:40:08",,"::"
"Coal India Limited","78.55","21.45","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","05-APR-2018 22:10:11",,"::"
"Coal India Limited","78.55","21.45","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-JAN-2018 16:10:04",,"::"
"Coal India Limited","78.86","21.14","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","11-OCT-2017 16:10:03",,"::"
"Coal India Limited","78.86","21.14","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","13-JUL-2017 16:10:01",,"::"
"Coal India Limited","78.86","21.14","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","11-APR-2017 16:10:01",,"::"
"Coal India Limited","79.78","20.22","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-JAN-2017 18:10:02",,"::"
"Coal India Limited","79.65","20.35","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","07-OCT-2016 12:10:01",,"::"
"Coal India Limited","79.65","20.35","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","15-JUL-2016 12:10:01",,"::"
"Coal India Limited","79.65","20.35","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","13-MAY-2016 17:15:01",,"::"
"Coal India Limited","79.65","20.35","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","25-JAN-2016 06:15:02",,"::"
"Coal India Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Coal India Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Coal India Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Coal India Limited","0","0","0",,"04-FEB-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
