"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Dr. Reddy's Laboratories Limited","26.64","73.1","0.26","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488636_21072025024231_WEB.xml","21-JUL-2025 14:42:36","21-JUL-2025 14:42:41","00:00:05"
"Dr. Reddy's Laboratories Limited","26.64","73.07","0.29","-","31-MAR-2025","19-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198504_1420290_19042025083556_WEB.xml","19-APR-2025 20:35:57","19-APR-2025 20:36:01","00:00:04"
"Dr. Reddy's Laboratories Limited","26.64","73.2","0.16","-","31-DEC-2024","21-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196056_1356539_21012025101621_WEB.xml","21-JAN-2025 22:16:23","21-JAN-2025 22:16:27","00:00:04"
"Dr. Reddy's Laboratories Limited","26.64","73.2","0.16","-","30-SEP-2024","21-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193441_1282548_21102024035855_WEB.xml","21-OCT-2024 15:58:56","21-OCT-2024 15:59:00","00:00:04"
"Dr. Reddy's Laboratories Limited","26.65","73.18","0.17","Revised","30-JUN-2024","17-JUL-2024","19-JUL-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_189744_1194797_19072024044224_WEB.xml","06-AUG-2024 15:26:40","06-AUG-2024 15:26:45","00:00:05"
"Dr. Reddy's Laboratories Limited","26.65","73.17","0.17","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187695_1099922_19042024112352_WEB.xml","19-APR-2024 11:23:53","19-APR-2024 11:25:19","00:01:26"
"Dr. Reddy's Laboratories Limited","26.65","73.17","0.18","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184913_1028613_19012024124750_WEB.xml","19-JAN-2024 12:47:51","19-JAN-2024 12:50:09","00:02:18"
"Dr. Reddy's Laboratories Limited","26.66","73.16","0.18","-","30-SEP-2023","19-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182294_959449_19102023113923_WEB.xml","19-OCT-2023 11:39:24","19-OCT-2023 11:45:03","00:05:39"
"Dr. Reddy's Laboratories Limited","26.69","73.1","0.21","-","30-JUN-2023","18-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179494_890607_18072023052056_WEB.xml","18-JUL-2023 17:20:57","18-JUL-2023 17:30:16","00:09:19"
"Dr. Reddy's Laboratories Limited","26.7","73.08","0.22","Revised","31-MAR-2023","20-APR-2023","01-JUN-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_177661_827640_20042023015917_WEB.xml","01-JUN-2023 11:25:31","01-JUN-2023 11:30:06","00:04:35"
"Dr. Reddy's Laboratories Limited","26.7","73.05","0.25","-","31-DEC-2022","19-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175016_773360_19012023043328_WEB.xml","19-JAN-2023 16:40:29",,"::"
"Dr. Reddy's Laboratories Limited","26.71","73.02","0.27","-","30-SEP-2022","21-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172949_740210_21102022052018_WEB.xml","21-OCT-2022 17:40:42",,"::"
"Dr. Reddy's Laboratories Limited","26.71","73.01","0.28","Revised","30-JUN-2022","18-JUL-2022","19-JAN-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_169905_693343_18072022051757_WEB.xml","19-JAN-2023 18:40:24",,"::"
