"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"ETERNAL LIMITED","0","94.09","5.91","-","30-JUN-2025","14-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1481904_14072025010317_WEB.xml","14-JUL-2025 13:03:21","14-JUL-2025 13:03:26","00:00:05"
"ETERNAL LIMITED","0","94.02","5.98","-","31-MAR-2025","07-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196428_1409632_07042025094902_WEB.xml","07-APR-2025 21:49:03","07-APR-2025 21:49:07","00:00:04"
"ETERNAL LIMITED","0","93.93","6.07","-","31-DEC-2024","13-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194502_1343946_13012025052808_WEB.xml","13-JAN-2025 17:28:08","13-JAN-2025 17:28:16","00:00:08"
"ETERNAL LIMITED","0","93.93","6.07","-","02-DEC-2024","27-DEC-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193818_1333609_27122024065005_WEB.xml","27-DEC-2024 18:50:07","27-DEC-2024 18:50:10","00:00:03"
"ETERNAL LIMITED","0","98.82","1.18","Revised","29-NOV-2024","03-DEC-2024","05-DEC-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_193743_1323236_05122024122640_WEB.xml","05-DEC-2024 12:57:26","05-DEC-2024 12:57:30","00:00:04"
"ETERNAL LIMITED","0","98.73","1.27","-","30-SEP-2024","14-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191898_1268756_14102024055709_WEB.xml","14-OCT-2024 17:57:10","14-OCT-2024 17:57:13","00:00:03"
"ETERNAL LIMITED","0","98.55","1.45","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190344_1194922_19072024050047_WEB.xml","19-JUL-2024 17:00:48","19-JUL-2024 17:00:53","00:00:05"
"ETERNAL LIMITED","0","98.42","1.58","-","31-MAR-2024","17-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187144_1095461_17042024120620_WEB.xml","17-APR-2024 12:06:21","17-APR-2024 12:10:04","00:03:43"
"ETERNAL LIMITED","0","98.34","1.66","-","31-DEC-2023","15-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184244_1021702_15012024062914_WEB.xml","15-JAN-2024 18:29:15","15-JAN-2024 18:35:03","00:05:48"
"ETERNAL LIMITED","0","98.18","1.82","-","30-SEP-2023","18-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182135_957906_18102023035007_WEB.xml","18-OCT-2023 15:50:08","18-OCT-2023 15:55:04","00:04:56"
"ETERNAL LIMITED","0","97.91","2.09","-","30-JUN-2023","21-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180244_897799_21072023055240_WEB.xml","21-JUL-2023 17:52:41","21-JUL-2023 18:00:13","00:07:32"
"ETERNAL LIMITED","0","97.78","2.22","-","31-MAR-2023","20-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177852_829399_20042023104709_WEB.xml","20-APR-2023 22:47:10","20-APR-2023 23:00:03","00:12:53"
"ETERNAL LIMITED","0","97.74","2.26","-","31-DEC-2022","19-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175120_774174_19012023104011_WEB.xml","20-JAN-2023 07:10:06",,"::"
"ETERNAL LIMITED","0","97.52","2.48","-","30-SEP-2022","21-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173037_740625_21102022064336_WEB.xml","21-OCT-2022 19:10:39",,"::"
"ETERNAL LIMITED","0","97.51","2.49","Revised","10-AUG-2022","11-AUG-2022","08-SEP-2022","https://nsearchives.nseindia.com/corporate/xbrl/SHP_170776_704396_11082022120214_WEB.xml","08-SEP-2022 17:10:02",,"::"
"ETERNAL LIMITED","0","97.19","2.81","-","30-JUN-2022","20-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170500_698295_20072022082229_WEB.xml","20-JUL-2022 20:40:10",,"::"
"ETERNAL LIMITED","0","97.09","2.91","-","31-MAR-2022","20-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167975_643736_20042022045006_WEB.xml","20-APR-2022 17:10:30",,"::"
"ETERNAL LIMITED","0","97.03","2.97","-","31-DEC-2021","19-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_165249_594118_19012022064251_WEB.xml","19-JAN-2022 19:10:17",,"::"
"ETERNAL LIMITED","0","96.43","3.57","-","30-SEP-2021","19-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_162651_539255_19102021112105_WEB.xml","07-JAN-2022 00:40:01",,"::"
"ETERNAL LIMITED","0","96.43","3.57","-","22-JUL-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_160586_496322_28072021121818_WEB.xml","29-JUL-2021 09:10:11",,"::"
