"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Grasim Industries Limited","43.11","56.59","0.3","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489510_21072025070000_WEB.xml","21-JUL-2025 19:00:06","21-JUL-2025 19:00:11","00:00:05"
"Grasim Industries Limited","43.11","56.58","0.3","-","31-MAR-2025","16-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197380_1415555_16042025125951_WEB.xml","16-APR-2025 12:59:52","16-APR-2025 12:59:56","00:00:04"
"Grasim Industries Limited","43.11","56.58","0.31","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195563_1352659_20012025042147_WEB.xml","20-JAN-2025 16:21:49","20-JAN-2025 16:21:52","00:00:03"
"Grasim Industries Limited","43.11","56.57","0.31","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192669_1275992_17102024073301_WEB.xml","17-OCT-2024 19:33:03","17-OCT-2024 19:33:07","00:00:04"
"Grasim Industries Limited","43.06","56.64","0.3","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190083_1192237_18072024053621_WEB.xml","18-JUL-2024 17:36:23","18-JUL-2024 17:36:27","00:00:04"
"Grasim Industries Limited","43.06","56.63","0.31","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187949_1102014_19042024060034_WEB.xml","19-APR-2024 18:00:36","19-APR-2024 18:05:07","00:04:31"
"Grasim Industries Limited","43.06","56.62","0.32","Revised","02-FEB-2024","11-FEB-2024","13-FEB-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_185458_1051567_11022024044505_WEB.xml","20-FEB-2024 15:42:00","20-FEB-2024 15:45:11","00:03:11"
"Grasim Industries Limited","42.75","56.92","0.33","-","31-DEC-2023","18-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184846_1028101_18012024082128_WEB.xml","18-JAN-2024 20:21:29","18-JAN-2024 20:25:03","00:03:34"
"Grasim Industries Limited","42.75","56.91","0.35","-","30-SEP-2023","17-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181964_956356_17102023060752_WEB.xml","17-OCT-2023 18:07:53","17-OCT-2023 18:10:28","00:02:35"
"Grasim Industries Limited","42.75","56.95","0.3","-","30-JUN-2023","20-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179853_894081_20072023115503_WEB.xml","20-JUL-2023 11:55:05","20-JUL-2023 12:00:19","00:05:14"
