"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"HDFC Bank Limited","0","1","0","-","30-SEP-2025","08-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1542427_08102025021958_WEB.xml","08-OCT-2025 14:20:05","08-OCT-2025 14:20:09","00:00:04"
"HDFC Bank Limited","0","100","0","-","28-AUG-2025","29-AUG-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1519065_29082025010045_WEB.xml","29-AUG-2025 13:00:51","29-AUG-2025 13:00:55","00:00:04"
"HDFC Bank Limited","0","100","0","-","30-JUN-2025","09-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1479249_09072025025118_WEB.xml","09-JUL-2025 14:51:24","09-JUL-2025 14:51:30","00:00:06"
"HDFC Bank Limited","0","100","0","-","31-MAR-2025","04-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196328_1408519_04042025045009_WEB.xml","04-APR-2025 16:50:10","04-APR-2025 16:50:14","00:00:04"
"HDFC Bank Limited","0","100","0","-","31-DEC-2024","03-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193840_1337043_03012025125244_WEB.xml","03-JAN-2025 12:52:45","03-JAN-2025 12:52:49","00:00:04"
"HDFC Bank Limited","0","100","0","-","30-SEP-2024","04-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191074_1258784_04102024085022_WEB.xml","04-OCT-2024 08:50:24","04-OCT-2024 08:50:27","00:00:03"
"HDFC Bank Limited","0","100","0","-","30-JUN-2024","02-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188593_1168862_02072024061533_WEB.xml","02-JUL-2024 18:15:35","02-JUL-2024 18:15:39","00:00:04"
"HDFC Bank Limited","0","100","0","-","31-MAR-2024","04-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185773_1080341_04042024011726_WEB.xml","04-APR-2024 13:17:28","04-APR-2024 13:20:09","00:02:41"
"HDFC Bank Limited","0","100","0","-","31-DEC-2023","10-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183667_1014433_10012024044348_WEB.xml","10-JAN-2024 16:43:50","10-JAN-2024 16:45:07","00:01:17"
"HDFC Bank Limited","0","100","0","-","30-SEP-2023","04-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180521_939866_04102023021645_WEB.xml","04-OCT-2023 14:16:46","04-OCT-2023 14:30:04","00:13:18"
"HDFC Bank Limited","0","100","0","-","14-JUL-2023","21-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180201_897307_21072023040557_WEB.xml","21-JUL-2023 16:05:59","21-JUL-2023 16:15:10","00:09:11"
"HDFC Bank Limited","25.52","74.48","0","-","30-JUN-2023","05-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178228_874347_05072023052148_WEB.xml","05-JUL-2023 17:21:49","05-JUL-2023 17:30:05","00:08:16"
"HDFC Bank Limited","25.59","74.41","0","Revised","31-MAR-2023","13-APR-2023","24-JUL-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_176474_817606_13042023041753_WEB.xml","24-JUL-2023 16:54:21","24-JUL-2023 17:00:02","00:05:41"
"HDFC Bank Limited","25.6","74.4","0","-","31-DEC-2022","17-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174566_769880_17012023051515_WEB.xml","17-JAN-2023 17:40:17",,"::"
"HDFC Bank Limited","25.64","74.36","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172097_735428_20102022105911_WEB.xml","20-OCT-2022 11:10:14",,"::"
"HDFC Bank Limited","25.73","74.27","0","-","30-JUN-2022","13-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169315_688057_13072022080114_WEB.xml","13-JUL-2022 20:10:03",,"::"
"HDFC Bank Limited","25.78","74.22","0","-","31-MAR-2022","09-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_166286_627454_09042022093633_WEB.xml","09-APR-2022 09:40:21",,"::"
"HDFC Bank Limited","25.8","74.2","0","-","31-DEC-2021","10-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_163978_581800_10012022085031_WEB.xml","10-JAN-2022 21:10:03",,"::"
"HDFC Bank Limited","25.83","74.17","0","-","30-SEP-2021","19-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_162639_539128_19102021074023_WEB.xml","07-JAN-2022 00:40:01",,"::"
"HDFC Bank Limited","25.89","74.11","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_158924_478652_10072021055757_WEB.xml","10-JUL-2021 18:10:05",,"::"
"HDFC Bank Limited","25.97","74.03","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156498_428038_10042021060718_WEB.xml","10-APR-2021 18:10:06",,"::"
"HDFC Bank Limited","26","74","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_153774_380981_08012021045420_WEB.xml","08-JAN-2021 17:10:06",,"::"
"HDFC Bank Limited","26.02","73.98","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_151256_332124_09102020085105_WEB.xml","09-OCT-2020 21:10:04",,"::"
"HDFC Bank Limited","26.1","73.9","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149011_280099_12072020024848_WEB.xml","12-JUL-2020 15:10:01",,"::"
"HDFC Bank Limited","26.14","73.86","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146215_237655_12042020104220_WEB.xml","12-APR-2020 11:10:01",,"::"
"HDFC Bank Limited","26.18","73.82","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_143672_187074_07012020025738_WEB.xml","07-JAN-2020 15:10:01",,"::"
"HDFC Bank Limited","26.21","73.79","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_141587_147302_14102019045317_WEB.xml","14-OCT-2019 17:10:03",,"::"
"HDFC Bank Limited","26.25","73.75","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_138425_113673_11072019104224_WEB.xml","11-JUL-2019 11:10:05",,"::"
"HDFC Bank Limited","26.5","73.5","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_137173_96629_18042019022047_WEB.xml","18-APR-2019 14:40:05",,"::"
"HDFC Bank Limited","26.54","73.46","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_133487_70731_14012019124923_WEB.xml","14-JAN-2019 13:10:07",,"::"
"HDFC Bank Limited","26.57","73.43","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_130967_49694_15102018101927_WEB.xml","15-OCT-2018 10:40:08",,"::"
"HDFC Bank Limited","25.49","74.51","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_127868_23799_14072018024545_WEB.xml","14-JUL-2018 15:10:05",,"::"
"HDFC Bank Limited","25.6","74.4","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","07-APR-2018 17:10:03",,"::"
"HDFC Bank Limited","25.66","74.34","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-JAN-2018 14:10:02",,"::"
"HDFC Bank Limited","25.73","74.27","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-OCT-2017 11:10:03",,"::"
"HDFC Bank Limited","25.86","74.14","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","07-JUL-2017 13:10:01",,"::"
"HDFC Bank Limited","26","74","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","09-APR-2017 13:10:01",,"::"
"HDFC Bank Limited","26.09","73.91","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-JAN-2017 14:10:01",,"::"
"HDFC Bank Limited","26.21","73.79","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-OCT-2016 15:10:01",,"::"
"HDFC Bank Limited","26.34","73.66","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","11-JUL-2016 17:10:01",,"::"
"HDFC Bank Limited","26.43","73.57","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-MAY-2016 17:15:01",,"::"
"HDFC Bank Limited","26.47","73.53","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","15-JAN-2016 06:15:01",,"::"
"HDFC Bank Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"10-FEB-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"30-SEP-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"30-JUN-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"31-MAR-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"31-DEC-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"30-SEP-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"30-JUN-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"31-MAR-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"31-DEC-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"30-SEP-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"HDFC Bank Limited","0","0","0",,"30-JUN-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
