"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"HDFC Life Insurance Company Limited","50.28","49.7","0.03","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489242_21072025055621_WEB.xml","21-JUL-2025 17:56:27","21-JUL-2025 17:56:35","00:00:08"
"HDFC Life Insurance Company Limited","50.32","49.66","0.03","-","31-MAR-2025","19-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198325_1419655_19042025124006_WEB.xml","19-APR-2025 12:40:07","19-APR-2025 12:40:10","00:00:03"
"HDFC Life Insurance Company Limited","50.32","49.65","0.03","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195600_1352929_20012025050134_WEB.xml","20-JAN-2025 17:01:35","20-JAN-2025 17:01:39","00:00:04"
"HDFC Life Insurance Company Limited","50.34","49.64","0.03","-","30-SEP-2024","18-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192913_1277932_18102024045328_WEB.xml","18-OCT-2024 16:53:29","18-OCT-2024 16:53:34","00:00:05"
"HDFC Life Insurance Company Limited","50.37","49.61","0.03","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190485_1196414_19072024104928_WEB.xml","19-JUL-2024 22:49:29","19-JUL-2024 22:49:33","00:00:04"
"HDFC Life Insurance Company Limited","50.37","49.61","0.03","-","31-MAR-2024","16-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186985_1094062_16042024035109_WEB.xml","16-APR-2024 15:51:10","16-APR-2024 15:55:07","00:03:57"
"HDFC Life Insurance Company Limited","50.37","49.6","0.03","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185052_1030000_19012024053628_WEB.xml","19-JAN-2024 17:36:29","19-JAN-2024 17:40:12","00:03:43"
"HDFC Life Insurance Company Limited","50.39","49.59","0.03","Revised","30-SEP-2023","19-OCT-2023","26-OCT-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_182417_960446_19102023042423_WEB.xml","30-OCT-2023 14:55:19","30-OCT-2023 15:00:08","00:04:49"
"HDFC Life Insurance Company Limited","50.33","49.64","0.03","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179702_892683_19072023043702_WEB.xml","19-JUL-2023 16:37:03","19-JUL-2023 16:45:11","00:08:08"
"HDFC Life Insurance Company Limited","50.31","49.66","0.03","-","31-MAR-2023","18-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177024_822704_18042023114446_WEB.xml","18-APR-2023 11:44:47","18-APR-2023 12:00:02","00:15:15"
