"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Hindalco Industries Limited","34.64","64.91","0.45","Revised","30-JUN-2025","21-JUL-2025","24-JUL-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_1492532_24072025053818_WEB.xml","29-JUL-2025 11:13:29","29-JUL-2025 11:13:34","00:00:05"
"Hindalco Industries Limited","34.64","64.89","0.47","Revised","31-MAR-2025","18-APR-2025","08-MAY-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_198094_1433649_08052025094701_WEB.xml","08-MAY-2025 14:40:50","08-MAY-2025 14:40:54","00:00:04"
"Hindalco Industries Limited","34.64","64.88","0.48","-","31-DEC-2024","16-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194953_1348010_16012025064033_WEB.xml","16-JAN-2025 18:40:35","16-JAN-2025 18:40:39","00:00:04"
"Hindalco Industries Limited","34.64","64.86","0.5","-","30-SEP-2024","18-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192746_1276630_18102024121518_WEB.xml","18-OCT-2024 12:15:21","18-OCT-2024 12:15:24","00:00:03"
"Hindalco Industries Limited","34.64","64.92","0.44","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190436_1195940_19072024072046_WEB.xml","19-JUL-2024 19:20:47","19-JUL-2024 19:20:51","00:00:04"
"Hindalco Industries Limited","34.64","64.9","0.46","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187758_1100394_19042024021527_WEB.xml","19-APR-2024 14:15:28","19-APR-2024 14:20:04","00:04:36"
"Hindalco Industries Limited","34.64","64.89","0.47","-","31-DEC-2023","18-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184719_1026623_18012024025124_WEB.xml","18-JAN-2024 14:51:25","18-JAN-2024 14:55:07","00:03:42"
"Hindalco Industries Limited","34.64","64.94","0.42","Revised","30-SEP-2023","16-OCT-2023","18-JAN-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_181733_954072_16102023052446_WEB.xml","18-JAN-2024 14:54:13","18-JAN-2024 15:00:04","00:05:51"
"Hindalco Industries Limited","34.64","64.97","0.39","-","30-JUN-2023","20-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179893_894493_20072023022345_WEB.xml","20-JUL-2023 14:23:46","20-JUL-2023 14:30:06","00:06:20"
"Hindalco Industries Limited","34.64","64.95","0.41","-","31-MAR-2023","20-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177790_828770_20042023062433_WEB.xml","20-APR-2023 18:24:34","20-APR-2023 18:30:40","00:06:06"
"Hindalco Industries Limited","34.64","64.95","0.41","Revised","31-DEC-2022","20-JAN-2023","11-APR-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_175378_776174_20012023074527_WEB.xml","11-APR-2023 16:10:31","11-APR-2023 16:15:12","00:04:41"
"Hindalco Industries Limited","34.64","65","0.36","Revised","30-SEP-2022","21-OCT-2022","11-APR-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_172716_739122_21102022125747_WEB.xml","11-APR-2023 16:10:52","11-APR-2023 16:15:14","00:04:22"
"Hindalco Industries Limited","34.64","65.07","0.29","Revised","30-JUN-2022","20-JUL-2022","11-APR-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_170288_696561_20072022124429_WEB.xml","11-APR-2023 16:11:13","11-APR-2023 16:15:15","00:04:02"
"Hindalco Industries Limited","34.64","65.04","0.31","Revised","31-MAR-2022","20-APR-2022","11-APR-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_167907_643174_20042022030834_WEB.xml","11-APR-2023 16:11:28","11-APR-2023 16:15:17","00:03:49"
"Hindalco Industries Limited","34.65","65","0.34","Revised","31-DEC-2021","18-JAN-2022","20-APR-2022","https://nsearchives.nseindia.com/corporate/xbrl/SHP_164969_591762_18012022034703_WEB.xml","22-APR-2022 16:11:32",,"::"
"Hindalco Industries Limited","34.65","65.06","0.29","-","30-SEP-2021","19-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_162392_537247_19102021114117_WEB.xml","06-JAN-2022 23:40:01",,"::"
"Hindalco Industries Limited","34.65","65.09","0.26","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159789_489064_19072021122056_WEB.xml","19-JUL-2021 12:40:13",,"::"
"Hindalco Industries Limited","34.65","65.08","0.26","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_157935_441247_20042021060901_WEB.xml","20-APR-2021 18:10:17",,"::"
"Hindalco Industries Limited","34.65","65.09","0.26","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_154895_393380_19012021112337_WEB.xml","19-JAN-2021 11:40:07",,"::"
"Hindalco Industries Limited","34.65","65.09","0.26","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_151517_335337_13102020113102_WEB.xml","13-OCT-2020 11:40:16",,"::"
"Hindalco Industries Limited","34.65","65.09","0.26","Revised","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149896_291182_19072020041337_WEB.xml","14-OCT-2020 10:40:07",,"::"
"Hindalco Industries Limited","34.65","65.09","0.26","Revised","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_147161_246847_02052020021729_WEB.xml","14-OCT-2020 10:40:07",,"::"
"Hindalco Industries Limited","34.65","65.1","0.25","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_144948_203575_16012020045039_WEB.xml","16-JAN-2020 17:10:04",,"::"
"Hindalco Industries Limited","34.66","65.1","0.25","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","24-OCT-2019 14:56:40",,"::"
"Hindalco Industries Limited","34.66","65.1","0.25","Revised","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142656_153543_18102019045926_WEB.xml","21-SEP-2020 10:40:05",,"::"
"Hindalco Industries Limited","34.66","65.1","0.25","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_140348_123094_20072019065413_WEB.xml","20-JUL-2019 19:10:22",,"::"
"Hindalco Industries Limited","34.66","65.14","0.2","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136661_94949_16042019120505_WEB.xml","16-APR-2019 12:10:08",,"::"
"Hindalco Industries Limited","34.66","65.14","0.2","Revised","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_133528_71007_14012019034231_WEB.xml","14-FEB-2019 12:10:05",,"::"
"Hindalco Industries Limited","34.66","65.34","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_131598_52060_17102018040357_WEB.xml","17-OCT-2018 16:10:14",,"::"
"Hindalco Industries Limited","34.67","65.33","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_128829_26983_20072018112414_WEB.xml","20-JUL-2018 11:40:11",,"::"
"Hindalco Industries Limited","34.67","65.33","0","Revised","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_4037_17042018123039.xml","22-MAY-2019 17:10:06",,"::"
"Hindalco Industries Limited","34.67","65.33","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-JAN-2018 17:10:02",,"::"
"Hindalco Industries Limited","34.69","65.31","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-OCT-2017 14:40:02",,"::"
"Hindalco Industries Limited","34.69","65.31","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-JUL-2017 16:40:01",,"::"
"Hindalco Industries Limited","34.7","65.3","0","Revised","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","27-APR-2017 17:10:02",,"::"
"Hindalco Industries Limited","34.7","65.3","0","-","09-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-MAR-2017 12:10:01",,"::"
"Hindalco Industries Limited","37.67","62.33","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-JAN-2017 13:10:02",,"::"
"Hindalco Industries Limited","37.69","62.31","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-NOV-2016 11:10:01",,"::"
