"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-JUN-2025","04-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1477611_04072025092802_WEB.xml","04-JUL-2025 21:28:08","04-JUL-2025 21:28:13","00:00:05"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-MAR-2025","21-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198909_1422002_21042025083332_WEB.xml","21-APR-2025 20:33:33","21-APR-2025 20:33:36","00:00:03"
"Hindustan Unilever Limited","61.9","38.1","0","Revised","31-DEC-2024","17-JAN-2025","31-JAN-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_195226_1367858_31012025072633_WEB.xml","31-JAN-2025 19:27:40","31-JAN-2025 19:27:44","00:00:04"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-SEP-2024","21-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193563_1283898_21102024073533_WEB.xml","21-OCT-2024 19:35:34","21-OCT-2024 19:35:37","00:00:03"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-JUN-2024","17-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189880_1190156_17072024062347_WEB.xml","17-JUL-2024 18:23:48","17-JUL-2024 18:23:52","00:00:04"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-MAR-2024","20-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188216_1104294_20042024050429_WEB.xml","20-APR-2024 17:04:30","20-APR-2024 17:10:04","00:05:34"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185140_1030677_19012024075219_WEB.xml","19-JAN-2024 19:52:20","19-JAN-2024 19:55:07","00:02:47"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182709_963182_20102023043933_WEB.xml","20-OCT-2023 16:39:35","20-OCT-2023 16:40:46","00:01:11"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179686_892537_19072023041139_WEB.xml","19-JUL-2023 16:11:40","19-JUL-2023 16:15:16","00:03:36"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-MAR-2023","21-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177958_830578_21042023043441_WEB.xml","21-APR-2023 16:34:42","21-APR-2023 16:45:14","00:10:32"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-DEC-2022","18-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174623_770523_18012023093416_WEB.xml","18-JAN-2023 09:40:02",,"::"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-SEP-2022","19-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_171805_733178_19102022124205_WEB.xml","19-OCT-2022 13:10:28",,"::"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-JUN-2022","08-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168773_682601_08072022072012_WEB.xml","08-JUL-2022 19:40:05",,"::"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-MAR-2022","19-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167701_641362_19042022052201_WEB.xml","19-APR-2022 17:40:29",,"::"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-DEC-2021","12-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164326_585421_12012022090542_WEB.xml","12-JAN-2022 21:10:03",,"::"
"Hindustan Unilever Limited","61.9","38.08","0","-","30-SEP-2021","14-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161956_533722_14102021074838_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Hindustan Unilever Limited","61.9","38.08","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159362_484437_14072021091228_WEB.xml","14-JUL-2021 21:40:04",,"::"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156995_434629_14042021082018_WEB.xml","14-APR-2021 20:40:10",,"::"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_155325_395767_20012021062619_WEB.xml","20-JAN-2021 18:40:11",,"::"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_151996_341675_15102020051401_WEB.xml","15-OCT-2020 17:40:17",,"::"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149426_287860_16072020122107_WEB.xml","16-JUL-2020 12:40:03",,"::"
"Hindustan Unilever Limited","61.9","38.09","0","-","21-APR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146795_242930_23042020010108_WEB.xml","23-APR-2020 07:10:02",,"::"
"Hindustan Unilever Limited","67.18","32.82","0","Revised","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146368_239265_15042020061816_WEB.xml","08-MAY-2020 10:40:01",,"::"
"Hindustan Unilever Limited","67.18","32.82","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_144813_202677_16012020103053_WEB.xml","16-JAN-2020 10:40:02",,"::"
"Hindustan Unilever Limited","67.18","32.82","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_141301_144457_11102019033928_WEB.xml","11-OCT-2019 15:40:04",,"::"
"Hindustan Unilever Limited","67.18","32.82","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_138341_113087_10072019025123_WEB.xml","10-JUL-2019 15:10:06",,"::"
"Hindustan Unilever Limited","67.19","32.81","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_135924_90501_11042019124047_WEB.xml","11-APR-2019 13:10:12",,"::"
"Hindustan Unilever Limited","67.19","32.81","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_132635_67675_10012019113533_WEB.xml","10-JAN-2019 11:40:08",,"::"
"Hindustan Unilever Limited","67.19","32.81","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_129822_43605_08102018050322_WEB.xml","08-OCT-2018 17:10:06",,"::"
"Hindustan Unilever Limited","67.19","32.81","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_127328_20043_11072018102327_WEB.xml","11-JUL-2018 10:40:04",,"::"
"Hindustan Unilever Limited","67.19","32.81","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_3659_16042018050839.xml","16-APR-2018 17:10:14",,"::"
"Hindustan Unilever Limited","67.19","32.81","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","09-JAN-2018 19:10:03",,"::"
"Hindustan Unilever Limited","67.19","32.81","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-OCT-2017 16:40:02",,"::"
"Hindustan Unilever Limited","67.2","32.8","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-JUL-2017 19:10:02",,"::"
"Hindustan Unilever Limited","67.2","32.8","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","11-APR-2017 11:10:02",,"::"
"Hindustan Unilever Limited","67.2","32.8","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-JAN-2017 18:10:02",,"::"
"Hindustan Unilever Limited","67.2","32.8","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","12-OCT-2016 18:10:02",,"::"
"Hindustan Unilever Limited","67.2","32.8","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-JUL-2016 19:10:01",,"::"
"Hindustan Unilever Limited","67.21","32.79","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-APR-2016 17:15:01",,"::"
"Hindustan Unilever Limited","67.21","32.79","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","21-JAN-2016 06:15:01",,"::"
"Hindustan Unilever Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"30-SEP-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"30-JUN-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"31-MAR-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Hindustan Unilever Limited","0","0","0",,"31-DEC-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
