"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"ICICI Bank Limited","0","100","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489434_21072025064422_WEB.xml","21-JUL-2025 18:44:30","21-JUL-2025 18:44:34","00:00:04"
"ICICI Bank Limited","0","100","0","-","31-MAR-2025","21-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198697_1420995_21042025024359_WEB.xml","21-APR-2025 14:44:00","21-APR-2025 14:44:04","00:00:04"
"ICICI Bank Limited","0","100","0","-","31-DEC-2024","17-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195045_1348807_17012025012711_WEB.xml","17-JAN-2025 13:27:13","17-JAN-2025 13:27:17","00:00:04"
"ICICI Bank Limited","0","100","0","-","30-SEP-2024","19-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193135_1279881_19102024021926_WEB.xml","19-OCT-2024 14:19:28","19-OCT-2024 14:19:32","00:00:04"
"ICICI Bank Limited","0","100","0","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190276_1194220_19072024031105_WEB.xml","19-JUL-2024 15:11:07","19-JUL-2024 15:11:11","00:00:04"
"ICICI Bank Limited","0","100","0","-","31-MAR-2024","20-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188055_1103014_20042024100914_WEB.xml","20-APR-2024 10:09:16",,"::"
"ICICI Bank Limited","0","100","0","-","31-DEC-2023","18-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184739_1026839_18012024034003_WEB.xml","18-JAN-2024 15:40:04","18-JAN-2024 15:45:03","00:04:59"
"ICICI Bank Limited","0","100","0","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182598_962151_20102023123008_WEB.xml","20-OCT-2023 12:30:10","20-OCT-2023 12:35:03","00:04:53"
"ICICI Bank Limited","0","100","0","-","30-JUN-2023","20-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179920_894771_20072023033505_WEB.xml","20-JUL-2023 15:35:07","20-JUL-2023 15:45:13","00:10:06"
"ICICI Bank Limited","0","100","0","-","31-MAR-2023","20-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177819_829108_20042023073351_WEB.xml","20-APR-2023 19:33:52","20-APR-2023 19:45:07","00:11:15"
"ICICI Bank Limited","0","100","0","-","31-DEC-2022","18-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174773_771716_18012023052050_WEB.xml","18-JAN-2023 17:40:26",,"::"
"ICICI Bank Limited","0","100","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172411_737475_20102022054702_WEB.xml","20-OCT-2022 18:10:49",,"::"
"ICICI Bank Limited","0","100","0","-","30-JUN-2022","16-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169700_691792_16072022052217_WEB.xml","16-JUL-2022 17:40:15",,"::"
"ICICI Bank Limited","0","100","0","-","31-MAR-2022","14-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167009_635633_14042022053119_WEB.xml","14-APR-2022 17:40:33",,"::"
"ICICI Bank Limited","0","100","0","-","31-DEC-2021","13-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164484_587129_13012022070618_WEB.xml","13-JAN-2022 19:10:06",,"::"
"ICICI Bank Limited","0","100","0","-","30-SEP-2021","18-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_162270_536114_18102021044654_WEB.xml","06-JAN-2022 23:10:01",,"::"
"ICICI Bank Limited","0","100","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159816_489166_19072021010611_WEB.xml","19-JUL-2021 13:10:21",,"::"
"ICICI Bank Limited","0","100","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_157556_439501_19042021025855_WEB.xml","19-APR-2021 15:10:10",,"::"
"ICICI Bank Limited","0","100","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_154988_393872_19012021032139_WEB.xml","19-JAN-2021 15:40:15",,"::"
"ICICI Bank Limited","0","100","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_152715_346360_20102020013642_WEB.xml","20-OCT-2020 13:40:12",,"::"
"ICICI Bank Limited","0","100","0","Revised","15-AUG-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150739_307860_17082020034258_WEB.xml","26-AUG-2020 11:10:01",,"::"
"ICICI Bank Limited","0","100","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149715_290072_17072020083800_WEB.xml","17-JUL-2020 20:40:02",,"::"
"ICICI Bank Limited","0","100","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146727_242230_21042020070722_WEB.xml","21-APR-2020 19:10:02",,"::"
"ICICI Bank Limited","0","100","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145493_206961_20012020050112_WEB.xml","20-JAN-2020 17:10:17",,"::"
"ICICI Bank Limited","0","100","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142539_153140_18102019025046_WEB.xml","18-OCT-2019 15:10:05",,"::"
"ICICI Bank Limited","0","100","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_139803_121857_19072019063753_WEB.xml","19-JUL-2019 18:40:25",,"::"
