"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"InterGlobe Aviation Limited","43.54","56.46","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489299_21072025060733_WEB.xml","21-JUL-2025 18:07:37","21-JUL-2025 18:07:43","00:00:06"
"InterGlobe Aviation Limited","49.27","50.73","0","-","31-MAR-2025","18-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198196_1419119_18042025062310_WEB.xml","18-APR-2025 18:23:11","18-APR-2025 18:23:14","00:00:03"
"InterGlobe Aviation Limited","49.27","50.73","0","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195750_1353932_20012025082343_WEB.xml","20-JAN-2025 20:23:44","20-JAN-2025 20:23:48","00:00:04"
"InterGlobe Aviation Limited","49.29","50.71","0","-","30-SEP-2024","11-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191719_1266861_11102024064952_WEB.xml","11-OCT-2024 18:49:53","11-OCT-2024 18:49:57","00:00:04"
"InterGlobe Aviation Limited","55.29","44.71","0","-","30-JUN-2024","09-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188881_1176829_09072024054507_WEB.xml","09-JUL-2024 17:45:08","09-JUL-2024 17:45:12","00:00:04"
"InterGlobe Aviation Limited","57.29","42.71","0","-","31-MAR-2024","08-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186045_1084236_08042024072857_WEB.xml","08-APR-2024 19:28:58","08-APR-2024 19:30:09","00:01:11"
"InterGlobe Aviation Limited","63.13","36.87","0","-","31-DEC-2023","18-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184832_1027961_18012024071810_WEB.xml","18-JAN-2024 19:18:11","18-JAN-2024 19:20:13","00:02:02"
"InterGlobe Aviation Limited","63.24","36.76","0","Revised","30-SEP-2023","19-OCT-2023","02-JAN-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_182526_961454_19102023072608_WEB.xml","03-JAN-2024 11:53:33","03-JAN-2024 11:55:04","00:01:31"
"InterGlobe Aviation Limited","67.77","32.23","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179764_893209_19072023060141_WEB.xml","19-JUL-2023 18:01:42","19-JUL-2023 18:15:03","00:13:21"
"InterGlobe Aviation Limited","67.86","32.14","0","-","31-MAR-2023","18-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177082_823080_18042023015138_WEB.xml","18-APR-2023 13:51:39","18-APR-2023 14:00:34","00:08:55"
"InterGlobe Aviation Limited","71.92","28.08","0","-","31-DEC-2022","11-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173758_761398_11012023111135_WEB.xml","11-JAN-2023 11:40:12",,"::"
"InterGlobe Aviation Limited","71.93","28.07","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172562_738381_20102022101738_WEB.xml","20-OCT-2022 22:40:08",,"::"
"InterGlobe Aviation Limited","74.77","25.23","0","-","30-JUN-2022","20-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170417_697515_20072022050012_WEB.xml","20-JUL-2022 17:10:20",,"::"
"InterGlobe Aviation Limited","74.77","25.23","0","-","31-MAR-2022","21-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168173_645511_21042022015826_WEB.xml","21-APR-2022 14:10:38",,"::"
"InterGlobe Aviation Limited","74.78","25.22","0","-","31-DEC-2021","18-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_165016_592137_18012022052012_WEB.xml","18-JAN-2022 17:40:19",,"::"
"InterGlobe Aviation Limited","74.79","25.21","0","-","30-SEP-2021","21-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_162958_542139_21102021123416_WEB.xml","07-JAN-2022 01:55:01",,"::"
"InterGlobe Aviation Limited","74.84","25.16","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159818_489168_19072021010700_WEB.xml","19-JUL-2021 13:10:21",,"::"
"InterGlobe Aviation Limited","74.84","25.16","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_157620_439795_19042021050048_WEB.xml","19-APR-2021 17:10:23",,"::"
"InterGlobe Aviation Limited","74.85","25.15","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_153973_383352_11012021041148_WEB.xml","11-JAN-2021 16:40:24",,"::"
"InterGlobe Aviation Limited","74.86","25.14","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_152957_347702_20102020102759_WEB.xml","20-OCT-2020 22:40:13",,"::"
"InterGlobe Aviation Limited","74.86","25.14","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149478_288274_16072020035622_WEB.xml","16-JUL-2020 16:10:03",,"::"
"InterGlobe Aviation Limited","74.86","25.14","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146815_243182_23042020035523_WEB.xml","23-APR-2020 16:10:01",,"::"
"InterGlobe Aviation Limited","74.86","25.14","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_143723_187729_07012020055114_WEB.xml","07-JAN-2020 18:10:02",,"::"
"InterGlobe Aviation Limited","74.89","25.11","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142029_151191_16102019040115_WEB.xml","16-OCT-2019 16:10:06",,"::"
"InterGlobe Aviation Limited","74.89","25.11","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_140141_122649_20072019040452_WEB.xml","20-JUL-2019 16:10:21",,"::"
"InterGlobe Aviation Limited","74.93","25.07","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136997_95923_17042019032533_WEB.xml","17-APR-2019 15:40:09",,"::"
