"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Infosys Limited","14.61","85.15","0.25","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489786_21072025083959_WEB.xml","21-JUL-2025 20:40:03","21-JUL-2025 20:40:14","00:00:11"
"Infosys Limited","14.6","85.14","0.26","-","31-MAR-2025","18-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198016_1418484_18042025024826_WEB.xml","18-APR-2025 14:48:26","18-APR-2025 14:48:31","00:00:05"
"Infosys Limited","14.43","85.3","0.27","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195760_1353991_20012025091350_WEB.xml","20-JAN-2025 21:13:51","20-JAN-2025 21:13:54","00:00:03"
"Infosys Limited","14.43","85.3","0.27","-","30-SEP-2024","16-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192403_1273522_16102024090143_WEB.xml","16-OCT-2024 21:01:44","16-OCT-2024 21:01:49","00:00:05"
"Infosys Limited","14.61","85.12","0.27","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190131_1192841_18072024070918_WEB.xml","18-JUL-2024 19:09:19","18-JUL-2024 19:09:23","00:00:04"
"Infosys Limited","14.71","84.99","0.29","-","31-MAR-2024","20-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188120_1103504_20042024011247_WEB.xml","20-APR-2024 13:12:48","20-APR-2024 13:15:11","00:02:23"
"Infosys Limited","14.78","84.92","0.3","-","31-DEC-2023","18-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184825_1027875_18012024065107_WEB.xml","18-JAN-2024 18:51:08","18-JAN-2024 18:55:11","00:04:03"
"Infosys Limited","14.89","84.8","0.31","-","30-SEP-2023","19-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182533_961547_19102023082402_WEB.xml","19-OCT-2023 20:24:03","19-OCT-2023 20:30:32","00:06:29"
"Infosys Limited","14.94","84.74","0.32","-","30-JUN-2023","21-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180207_897374_21072023041902_WEB.xml","21-JUL-2023 16:19:04","21-JUL-2023 16:30:35","00:11:31"
"Infosys Limited","15.14","84.52","0.33","-","31-MAR-2023","17-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176970_822215_17042023063024_WEB.xml","17-APR-2023 18:30:25","17-APR-2023 18:45:33","00:15:08"
