"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"ITC Limited","0","100","0","Revised","30-JUN-2025","18-JUL-2025","26-JUL-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_1494297_26072025120454_WEB.xml","28-JUL-2025 11:24:17","28-JUL-2025 11:24:22","00:00:05"
"ITC Limited","0","100","0","-","31-MAR-2025","16-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197418_1415731_16042025031850_WEB.xml","16-APR-2025 15:18:51","16-APR-2025 15:18:54","00:00:03"
"ITC Limited","0","100","0","-","31-DEC-2024","16-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194830_1347069_16012025012158_WEB.xml","16-JAN-2025 13:21:59","16-JAN-2025 13:22:02","00:00:03"
"ITC Limited","0","100","0","Revised","30-SEP-2024","17-OCT-2024","31-DEC-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_192516_1335785_31122024044551_WEB.xml","31-DEC-2024 17:12:56","31-DEC-2024 17:12:59","00:00:03"
"ITC Limited","0","100","0","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190007_1191448_18072024033046_WEB.xml","18-JUL-2024 15:30:47","18-JUL-2024 15:30:52","00:00:05"
"ITC Limited","0","100","0","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187399_1097358_18042024112052_WEB.xml","18-APR-2024 11:20:53","18-APR-2024 11:25:04","00:04:11"
"ITC Limited","0","100","0","-","31-DEC-2023","16-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184326_1022544_16012024022740_WEB.xml","16-JAN-2024 14:27:41","16-JAN-2024 14:30:10","00:02:29"
"ITC Limited","0","100","0","-","30-SEP-2023","17-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181817_954995_17102023121438_WEB.xml","17-OCT-2023 12:14:39","17-OCT-2023 12:30:12","00:15:33"
"ITC Limited","0","100","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179649_892103_19072023023906_WEB.xml","19-JUL-2023 14:39:07","19-JUL-2023 14:45:10","00:06:03"
"ITC Limited","0","100","0","-","31-MAR-2023","11-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176214_814929_11042023063544_WEB.xml","11-APR-2023 18:35:45","11-APR-2023 18:45:05","00:09:20"
"ITC Limited","0","100","0","-","31-DEC-2022","13-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174197_766068_13012023050832_WEB.xml","13-JAN-2023 17:10:21",,"::"
