"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Kotak Mahindra Bank Limited","25.88","74.12","0","-","30-JUN-2025","15-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1483613_15072025072312_WEB.xml","15-JUL-2025 19:23:20","15-JUL-2025 19:23:24","00:00:04"
"Kotak Mahindra Bank Limited","25.88","74.12","0","-","31-MAR-2025","11-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196943_1412925_11042025062512_WEB.xml","11-APR-2025 18:25:14","11-APR-2025 18:25:17","00:00:03"
"Kotak Mahindra Bank Limited","25.89","74.11","0","-","31-DEC-2024","09-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194191_1341230_09012025071541_WEB.xml","09-JAN-2025 19:15:43","09-JAN-2025 19:15:47","00:00:04"
"Kotak Mahindra Bank Limited","25.89","74.11","0","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192481_1274152_17102024011647_WEB.xml","17-OCT-2024 13:16:49","17-OCT-2024 13:16:53","00:00:04"
"Kotak Mahindra Bank Limited","25.89","74.11","0","-","30-JUN-2024","10-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189005_1178941_10072024064105_WEB.xml","10-JUL-2024 18:41:07","10-JUL-2024 18:41:10","00:00:03"
"Kotak Mahindra Bank Limited","25.9","74.1","0","-","31-MAR-2024","12-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186568_1090545_12042024092118_WEB.xml","12-APR-2024 21:21:20","12-APR-2024 21:25:04","00:03:44"
"Kotak Mahindra Bank Limited","25.91","74.09","0","-","31-DEC-2023","13-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184124_1020204_13012024062903_WEB.xml","13-JAN-2024 18:29:05","13-JAN-2024 18:45:59","00:16:54"
"Kotak Mahindra Bank Limited","25.93","74.07","0","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182806_964308_20102023081800_WEB.xml","20-OCT-2023 20:18:02","20-OCT-2023 20:20:02","00:02:00"
"Kotak Mahindra Bank Limited","25.94","74.06","0","-","30-JUN-2023","21-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180266_898033_21072023070246_WEB.xml","21-JUL-2023 19:02:48","21-JUL-2023 19:15:03","00:12:15"
"Kotak Mahindra Bank Limited","25.95","74.05","0","Revised","31-MAR-2023","10-APR-2023","10-JUL-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_176077_813172_10042023062908_WEB.xml","12-JUL-2024 12:02:31","12-JUL-2024 12:02:35","00:00:04"
"Kotak Mahindra Bank Limited","25.95","74.05","0","Revised","31-DEC-2022","20-JAN-2023","24-MAR-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_175367_776025_20012023065820_WEB.xml","27-MAR-2023 16:40:24",,"::"
"Kotak Mahindra Bank Limited","25.96","74.04","0","-","30-SEP-2022","21-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173061_740701_21102022065742_WEB.xml","21-OCT-2022 19:10:39",,"::"
"Kotak Mahindra Bank Limited","25.97","74.03","0","-","30-JUN-2022","21-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170673_699838_21072022063231_WEB.xml","21-JUL-2022 18:40:19",,"::"
"Kotak Mahindra Bank Limited","25.98","74.02","0","-","31-MAR-2022","21-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168274_646497_21042022063330_WEB.xml","21-APR-2022 18:40:37",,"::"
"Kotak Mahindra Bank Limited","25.99","74.01","0","Revised","31-DEC-2021","19-JAN-2022","20-JAN-2022","https://nsearchives.nseindia.com/corporate/xbrl/SHP_165272_594358_19012022083012_WEB.xml","20-JAN-2022 19:10:15",,"::"
"Kotak Mahindra Bank Limited","26","74","0","Revised","30-SEP-2021","16-OCT-2021","18-OCT-2021","https://nsearchives.nseindia.com/corporate/xbrl/SHP_162023_534236_16102021102916_WEB.xml","06-JAN-2022 22:24:10",,"::"
"Kotak Mahindra Bank Limited","26","74","0","Revised","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_160161_491431_20072021025901_WEB.xml","22-JUL-2021 11:10:11",,"::"
"Kotak Mahindra Bank Limited","26.02","73.98","0","Revised","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_158101_441997_21042021020802_WEB.xml","26-APR-2021 14:10:04",,"::"
"Kotak Mahindra Bank Limited","26.03","73.97","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_154959_393729_19012021022408_WEB.xml","19-JAN-2021 14:40:18",,"::"
