"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Larsen & Toubro Limited","0","100","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488584_21072025021203_WEB.xml","21-JUL-2025 14:12:07","21-JUL-2025 14:12:12","00:00:05"
"Larsen & Toubro Limited","0","100","0","-","31-MAR-2025","17-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197578_1416639_17042025114403_WEB.xml","17-APR-2025 11:44:04","17-APR-2025 11:44:08","00:00:04"
"Larsen & Toubro Limited","0","100","0","-","31-DEC-2024","14-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194590_1344852_14012025025057_WEB.xml","14-JAN-2025 14:50:58","14-JAN-2025 14:51:02","00:00:04"
"Larsen & Toubro Limited","0","100","0","-","30-SEP-2024","14-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191843_1268173_14102024035616_WEB.xml","14-OCT-2024 15:56:18","14-OCT-2024 15:56:22","00:00:04"
"Larsen & Toubro Limited","0","100","0","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190085_1192260_18072024054140_WEB.xml","18-JUL-2024 17:41:42","18-JUL-2024 17:41:46","00:00:04"
"Larsen & Toubro Limited","0","100","0","-","31-MAR-2024","12-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186508_1089813_12042024045859_WEB.xml","12-APR-2024 16:59:00","12-APR-2024 17:00:20","00:01:20"
"Larsen & Toubro Limited","0","100","0","-","31-DEC-2023","10-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183581_1013481_10012024120159_WEB.xml","10-JAN-2024 12:02:00","10-JAN-2024 12:05:11","00:03:11"
"Larsen & Toubro Limited","0","100","0","-","30-SEP-2023","19-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182283_959330_19102023105627_WEB.xml","19-OCT-2023 10:56:28","19-OCT-2023 11:00:32","00:04:04"
"Larsen & Toubro Limited","0","100","0","-","28-SEP-2023","07-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180701_942622_07102023074522_WEB.xml","07-OCT-2023 19:45:23","07-OCT-2023 20:00:04","00:14:41"
"Larsen & Toubro Limited","0","100","0","-","30-JUN-2023","18-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179450_890254_18072023041159_WEB.xml","18-JUL-2023 16:12:00","18-JUL-2023 16:15:16","00:03:16"
"Larsen & Toubro Limited","0","100","0","-","31-MAR-2023","13-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176385_816840_13042023111043_WEB.xml","13-APR-2023 11:10:43","13-APR-2023 11:15:07","00:04:24"
"Larsen & Toubro Limited","0","100","0","-","31-DEC-2022","20-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175265_775176_20012023040930_WEB.xml","20-JAN-2023 16:10:25",,"::"
"Larsen & Toubro Limited","0","100","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172378_737272_20102022052028_WEB.xml","20-OCT-2022 17:40:47",,"::"
"Larsen & Toubro Limited","0","100","0","-","30-JUN-2022","18-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169934_693620_18072022062040_WEB.xml","18-JUL-2022 18:40:14",,"::"
"Larsen & Toubro Limited","0","100","0","-","31-MAR-2022","14-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167001_635579_14042022051652_WEB.xml","14-APR-2022 17:40:33",,"::"
"Larsen & Toubro Limited","0","100","0","-","31-DEC-2021","15-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164654_588957_15012022045448_WEB.xml","15-JAN-2022 17:10:06",,"::"
"Larsen & Toubro Limited","0","100","0","Revised","30-SEP-2021","19-OCT-2021","09-DEC-2021","https://nsearchives.nseindia.com/corporate/xbrl/SHP_162361_536988_19102021093432_WEB.xml","06-JAN-2022 23:25:01",,"::"
"Larsen & Toubro Limited","0","100","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159451_485810_15072021051945_WEB.xml","15-JUL-2021 17:40:13",,"::"
"Larsen & Toubro Limited","0","100","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156804_432019_13042021052238_WEB.xml","13-APR-2021 17:40:09",,"::"
"Larsen & Toubro Limited","0","100","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_154598_391746_16012021112702_WEB.xml","16-JAN-2021 11:40:08",,"::"
"Larsen & Toubro Limited","0","100","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_152811_346832_20102020043225_WEB.xml","20-OCT-2020 16:40:24",,"::"
"Larsen & Toubro Limited","0","100","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150178_292395_20072020053527_WEB.xml","20-JUL-2020 17:40:06",,"::"
"Larsen & Toubro Limited","0","100","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_147004_245100_28042020061912_WEB.xml","28-APR-2020 18:40:01",,"::"
"Larsen & Toubro Limited","0","100","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145422_206538_20012020025342_WEB.xml","20-JAN-2020 15:10:04",,"::"
"Larsen & Toubro Limited","0","100","0","Revised","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142495_154434_19102019023645_WEB.xml","06-NOV-2019 19:10:02",,"::"
"Larsen & Toubro Limited","0","100","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_139832_121917_19072019070503_WEB.xml","19-JUL-2019 19:10:15",,"::"
"Larsen & Toubro Limited","0","100","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_137107_96912_18042019055500_WEB.xml","18-APR-2019 18:10:09",,"::"
"Larsen & Toubro Limited","0","100","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_134661_75558_19012019043928_WEB.xml","19-JAN-2019 16:40:09",,"::"
