"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Maruti Suzuki India Limited","58.28","41.72","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488201_21072025094413_WEB.xml","21-JUL-2025 09:44:17","21-JUL-2025 09:44:22","00:00:05"
"Maruti Suzuki India Limited","58.28","41.72","0","-","31-MAR-2025","21-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198558_1420472_21042025094824_WEB.xml","21-APR-2025 09:48:25","21-APR-2025 09:48:28","00:00:03"
"Maruti Suzuki India Limited","58.28","41.72","0","Revised","31-DEC-2024","20-JAN-2025","03-FEB-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_195637_1368731_03022025114617_WEB.xml","12-FEB-2025 16:55:45","12-FEB-2025 16:55:49","00:00:04"
"Maruti Suzuki India Limited","58.19","41.81","0","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192426_1273750_17102024112700_WEB.xml","17-OCT-2024 11:27:01","17-OCT-2024 11:27:05","00:00:04"
"Maruti Suzuki India Limited","58.19","41.81","0","-","30-JUN-2024","16-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189634_1187549_16072024045853_WEB.xml","16-JUL-2024 16:58:54","16-JUL-2024 16:58:58","00:00:04"
"Maruti Suzuki India Limited","58.19","41.81","0","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187895_1101580_19042024050931_WEB.xml","19-APR-2024 17:09:32","19-APR-2024 17:15:03","00:05:31"
"Maruti Suzuki India Limited","58.19","41.81","0","-","31-DEC-2023","15-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184158_1020666_15012024124109_WEB.xml","15-JAN-2024 12:41:10","15-JAN-2024 12:45:03","00:03:53"
"Maruti Suzuki India Limited","58.19","41.81","0","-","24-NOV-2023","30-NOV-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183085_992568_30112023025949_WEB.xml","30-NOV-2023 14:59:50","30-NOV-2023 15:05:04","00:05:14"
"Maruti Suzuki India Limited","56.48","43.52","0","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182768_963916_20102023064005_WEB.xml","20-OCT-2023 18:40:06","20-OCT-2023 18:45:02","00:04:56"
"Maruti Suzuki India Limited","56.48","43.52","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179684_892512_19072023040942_WEB.xml","19-JUL-2023 16:09:43","19-JUL-2023 16:15:12","00:05:29"
"Maruti Suzuki India Limited","56.48","43.52","0","-","31-MAR-2023","19-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177391_825581_19042023025229_WEB.xml","19-APR-2023 14:52:30","19-APR-2023 15:00:08","00:07:38"
"Maruti Suzuki India Limited","56.37","43.63","0","-","31-DEC-2022","20-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175257_775121_20012023035054_WEB.xml","20-JAN-2023 16:10:25",,"::"
