"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Nestle India Limited","62.76","37.24","0","-","11-AUG-2025","20-AUG-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1515503_20082025102023_WEB.xml","20-AUG-2025 22:20:29","20-AUG-2025 22:20:34","00:00:05"
"Nestle India Limited","62.76","37.24","0","-","30-JUN-2025","19-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488122_19072025115820_WEB.xml","19-JUL-2025 23:58:27","19-JUL-2025 23:58:31","00:00:04"
"Nestle India Limited","62.76","37.24","0","-","31-MAR-2025","21-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198919_1422086_21042025092358_WEB.xml","21-APR-2025 21:23:59","21-APR-2025 21:24:03","00:00:04"
"Nestle India Limited","62.76","37.24","0","-","31-DEC-2024","17-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195162_1349719_17012025053614_WEB.xml","17-JAN-2025 17:36:15","17-JAN-2025 17:36:19","00:00:04"
"Nestle India Limited","62.76","37.24","0","-","30-SEP-2024","16-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192199_1271600_16102024113659_WEB.xml","16-OCT-2024 11:37:01","16-OCT-2024 11:37:05","00:00:04"
"Nestle India Limited","62.76","37.24","0","-","30-JUN-2024","20-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190607_1197060_20072024015540_WEB.xml","20-JUL-2024 13:55:41","20-JUL-2024 13:55:49","00:00:08"
"Nestle India Limited","62.76","37.24","0","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187480_1097952_18042024025821_WEB.xml","18-APR-2024 14:58:22","18-APR-2024 15:00:17","00:01:55"
"Nestle India Limited","62.76","37.24","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185028_1029798_19012024050831_WEB.xml","19-JAN-2024 17:08:33","19-JAN-2024 17:10:23","00:01:50"
"Nestle India Limited","62.76","37.24","0","-","30-SEP-2023","18-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182259_959114_18102023081627_WEB.xml","18-OCT-2023 20:16:28","18-OCT-2023 20:20:08","00:03:40"
"Nestle India Limited","62.76","37.24","0","-","30-JUN-2023","05-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188512_1153786_05062024065348_WEB.xml","30-JUL-2024 15:53:20","30-JUL-2024 15:53:25","00:00:05"
"Nestle India Limited","62.76","37.24","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_135004_80303_07022019051658_WEB.xml","07-FEB-2019 17:40:04",,"::"
"Nestle India Limited","62.76","37.24","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_132252_56397_31102018124737_WEB.xml","01-NOV-2018 19:10:08",,"::"
"Nestle India Limited","62.76","37.24","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_129188_31246_02082018103038_WEB.xml","02-AUG-2018 10:40:04",,"::"
"Nestle India Limited","62.76","37.24","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126361_25399_18072018103037_WEB.xml","18-JUL-2018 10:40:07",,"::"
"Nestle India Limited","62.76","37.24","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","21-FEB-2018 10:40:08",,"::"
"Nestle India Limited","62.76","37.24","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","15-FEB-2018 15:10:03",,"::"
"Nestle India Limited","62.76","37.24","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","09-AUG-2017 15:10:01",,"::"
"Nestle India Limited","62.76","37.24","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","03-MAY-2017 11:10:01",,"::"
"Nestle India Limited","62.76","37.24","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","24-JAN-2017 19:10:01",,"::"
"Nestle India Limited","62.76","37.24","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","09-NOV-2016 19:10:01",,"::"
"Nestle India Limited","62.76","37.24","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","22-JUL-2016 19:10:01",,"::"
"Nestle India Limited","62.76","37.24","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","03-MAY-2016 17:15:02",,"::"
"Nestle India Limited","62.76","37.24","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","28-JAN-2016 17:15:01",,"::"
"Nestle India Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Nestle India Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Nestle India Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
