"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"NTPC Limited","51.1","48.9","0","-","30-JUN-2025","17-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1485605_17072025053253_WEB.xml","17-JUL-2025 17:33:02","17-JUL-2025 17:33:45","00:00:43"
"NTPC Limited","51.1","48.9","0","-","31-MAR-2025","18-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197914_1418160_18042025114954_WEB.xml","18-APR-2025 11:49:54","18-APR-2025 11:49:58","00:00:04"
"NTPC Limited","51.1","48.9","0","-","31-DEC-2024","16-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194942_1347932_16012025060943_WEB.xml","16-JAN-2025 18:09:44","16-JAN-2025 18:09:47","00:00:03"
"NTPC Limited","51.1","48.9","0","-","30-SEP-2024","18-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192821_1277242_18102024030041_WEB.xml","18-OCT-2024 15:00:42","18-OCT-2024 15:00:46","00:00:04"
"NTPC Limited","51.1","48.9","0","-","30-JUN-2024","17-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189799_1189297_17072024031834_WEB.xml","17-JUL-2024 15:18:35","17-JUL-2024 15:18:39","00:00:04"
"NTPC Limited","51.1","48.9","0","-","31-MAR-2024","17-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187273_1096420_17042024044836_WEB.xml","17-APR-2024 16:48:37","17-APR-2024 16:50:12","00:01:35"
"NTPC Limited","51.1","48.9","0","-","31-DEC-2023","17-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184462_1024125_17012024120927_WEB.xml","17-JAN-2024 12:09:28","17-JAN-2024 12:15:08","00:05:40"
"NTPC Limited","51.1","48.9","0","Revised","30-SEP-2023","17-OCT-2023","19-OCT-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_181917_955946_17102023045121_WEB.xml","20-OCT-2023 11:46:16","20-OCT-2023 11:50:04","00:03:48"
"NTPC Limited","51.1","48.9","0","-","30-JUN-2023","14-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178968_885252_14072023054538_WEB.xml","14-JUL-2023 17:45:39","14-JUL-2023 18:00:04","00:14:25"
"NTPC Limited","51.1","48.9","0","-","31-MAR-2023","13-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176499_817834_13042023050231_WEB.xml","13-APR-2023 17:02:32","13-APR-2023 17:15:04","00:12:32"
