"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","30-JUN-2025","18-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1486635_18072025043443_WEB.xml","18-JUL-2025 16:34:49","18-JUL-2025 16:34:53","00:00:04"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","31-MAR-2025","18-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198044_1418589_18042025033706_WEB.xml","18-APR-2025 15:37:07","18-APR-2025 15:37:10","00:00:03"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","31-DEC-2024","17-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195185_1349949_17012025062351_WEB.xml","17-JAN-2025 18:23:52","17-JAN-2025 18:23:56","00:00:04"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","30-SEP-2024","18-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192935_1278158_18102024051926_WEB.xml","18-OCT-2024 17:19:27","18-OCT-2024 17:19:35","00:00:08"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190335_1194839_19072024044610_WEB.xml","19-JUL-2024 16:46:11","19-JUL-2024 16:46:15","00:00:04"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187518_1098259_18042024040405_WEB.xml","18-APR-2024 16:04:06","18-APR-2024 16:10:04","00:05:58"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184911_1028590_19012024124255_WEB.xml","19-JAN-2024 12:42:56","19-JAN-2024 12:45:04","00:02:08"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","30-SEP-2023","19-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182496_961160_19102023061544_WEB.xml","19-OCT-2023 18:15:45","19-OCT-2023 18:20:37","00:04:52"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179782_893428_19072023064901_WEB.xml","19-JUL-2023 18:49:02","19-JUL-2023 19:00:02","00:11:00"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","31-MAR-2023","20-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177627_827382_20042023122456_WEB.xml","20-APR-2023 12:24:58","20-APR-2023 12:30:14","00:05:16"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","31-DEC-2022","19-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175044_773568_19012023051948_WEB.xml","19-JAN-2023 17:40:26",,"::"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172396_737399_20102022053650_WEB.xml","20-OCT-2022 17:40:47",,"::"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","30-JUN-2022","14-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169410_688935_14072022034843_WEB.xml","14-JUL-2022 16:10:17",,"::"
"Oil & Natural Gas Corporation Limited","58.91","41.09","0","-","31-MAR-2022","18-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167321_638164_18042022014010_WEB.xml","18-APR-2022 13:40:40",,"::"
"Oil & Natural Gas Corporation Limited","60.41","39.59","0","-","31-DEC-2021","18-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_165048_592419_18012022070716_WEB.xml","18-JAN-2022 19:10:07",,"::"
"Oil & Natural Gas Corporation Limited","60.41","39.59","0","-","30-SEP-2021","13-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161760_531817_13102021050925_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Oil & Natural Gas Corporation Limited","60.41","39.59","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159550_487115_16072021033109_WEB.xml","16-JUL-2021 15:40:09",,"::"
"Oil & Natural Gas Corporation Limited","60.41","39.59","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156540_428458_12042021115331_WEB.xml","12-APR-2021 12:10:10",,"::"
"Oil & Natural Gas Corporation Limited","60.41","39.59","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_153461_376694_05012021124139_WEB.xml","05-JAN-2021 13:10:07",,"::"
"Oil & Natural Gas Corporation Limited","60.41","39.59","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_151849_339443_14102020053139_WEB.xml","14-OCT-2020 17:40:14",,"::"
"Oil & Natural Gas Corporation Limited","60.41","39.59","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149899_291205_19072020052448_WEB.xml","19-JUL-2020 17:40:01",,"::"
"Oil & Natural Gas Corporation Limited","60.41","39.59","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_147806_253182_12052020034008_WEB.xml","12-MAY-2020 16:10:03",,"::"
"Oil & Natural Gas Corporation Limited","62.78","37.22","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145580_207427_20012020071119_WEB.xml","20-JAN-2020 19:40:07",,"::"
"Oil & Natural Gas Corporation Limited","62.98","37.02","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142352_152291_17102019050642_WEB.xml","17-OCT-2019 17:10:05",,"::"
"Oil & Natural Gas Corporation Limited","64.25","35.75","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_138525_114754_12072019112206_WEB.xml","12-JUL-2019 11:40:05",,"::"
"Oil & Natural Gas Corporation Limited","64.25","35.75","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_137061_96197_17042019060359_WEB.xml","17-APR-2019 18:10:09",,"::"
"Oil & Natural Gas Corporation Limited","65.64","34.36","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_133051_67721_10012019120402_WEB.xml","10-JAN-2019 12:10:06",,"::"
"Oil & Natural Gas Corporation Limited","67.48","32.52","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_130753_48241_12102018032717_WEB.xml","12-OCT-2018 15:40:11",,"::"
"Oil & Natural Gas Corporation Limited","67.45","32.55","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_128806_26916_19072018091218_WEB.xml","19-JUL-2018 21:40:07",,"::"
"Oil & Natural Gas Corporation Limited","67.72","32.28","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_2511_13042018072855.xml","13-APR-2018 19:40:05",,"::"
"Oil & Natural Gas Corporation Limited","67.72","32.28","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-JAN-2018 18:40:02",,"::"
"Oil & Natural Gas Corporation Limited","68.07","31.93","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-OCT-2017 18:10:02",,"::"
"Oil & Natural Gas Corporation Limited","68.07","31.93","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","13-JUL-2017 18:10:01",,"::"
"Oil & Natural Gas Corporation Limited","68.07","31.93","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-APR-2017 16:10:02",,"::"
"Oil & Natural Gas Corporation Limited","68.93","31.07","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-JAN-2017 12:10:01",,"::"
"Oil & Natural Gas Corporation Limited","68.93","31.07","0","-","18-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","21-DEC-2016 11:10:01",,"::"
"Oil & Natural Gas Corporation Limited","68.93","31.07","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-OCT-2016 17:10:01",,"::"
"Oil & Natural Gas Corporation Limited","68.93","31.07","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-JUL-2016 19:10:01",,"::"
"Oil & Natural Gas Corporation Limited","68.93","31.07","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","28-APR-2016 17:15:01",,"::"
"Oil & Natural Gas Corporation Limited","68.93","31.07","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-JAN-2016 17:15:02",,"::"
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-SEP-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-JUN-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-MAR-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-DEC-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-SEP-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-JUN-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-MAR-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"09-MAR-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-DEC-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-SEP-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-JUN-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-MAR-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-DEC-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-SEP-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-JUN-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-MAR-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-DEC-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-SEP-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"30-JUN-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corporation Limited","0","0","0",,"31-MAR-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corpn Ltd","0","0","0",,"31-DEC-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corpn Ltd","0","0","0",,"30-SEP-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corpn Ltd","0","0","0",,"30-JUN-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corpn Ltd","0","0","0",,"31-MAR-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corpn Ltd","0","0","0",,"31-DEC-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Oil & Natural Gas Corpn Ltd","0","0","0",,"30-SEP-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
