"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Power Grid Corporation of India Limited","51.34","48.66","0","-","30-JUN-2025","19-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1487941_19072025055006_WEB.xml","19-JUL-2025 17:50:10","19-JUL-2025 17:50:14","00:00:04"
"Power Grid Corporation of India Limited","51.34","48.66","0","-","31-MAR-2025","11-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196821_1412194_11042025114927_WEB.xml","11-APR-2025 11:49:27","11-APR-2025 11:49:31","00:00:04"
"Power Grid Corporation of India Limited","51.34","48.66","0","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195697_1353648_20012025064713_WEB.xml","20-JAN-2025 18:47:14","20-JAN-2025 18:47:17","00:00:03"
"Power Grid Corporation of India Limited","51.34","48.66","0","-","30-SEP-2024","18-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192763_1276814_18102024125831_WEB.xml","18-OCT-2024 12:58:32","18-OCT-2024 12:58:37","00:00:05"
"Power Grid Corporation of India Limited","51.34","48.66","0","-","30-JUN-2024","12-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189186_1181529_12072024120713_WEB.xml","12-JUL-2024 12:07:15","12-JUL-2024 12:07:20","00:00:05"
"Power Grid Corporation of India Limited","51.34","48.66","0","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187588_1098987_18042024054934_WEB.xml","18-APR-2024 17:49:35","18-APR-2024 17:55:04","00:05:29"
"Power Grid Corporation of India Limited","51.34","48.66","0","-","31-DEC-2023","16-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184294_1022272_16012024123347_WEB.xml","16-JAN-2024 12:33:48","16-JAN-2024 12:35:07","00:01:19"
"Power Grid Corporation of India Limited","51.34","48.66","0","-","30-SEP-2023","16-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181667_953404_16102023032740_WEB.xml","16-OCT-2023 15:27:41","16-OCT-2023 15:30:20","00:02:39"
"Power Grid Corporation of India Limited","51.34","48.66","0","-","30-JUN-2023","18-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179389_889629_18072023012005_WEB.xml","18-JUL-2023 13:20:06","18-JUL-2023 13:30:40","00:10:34"
"Power Grid Corporation of India Limited","51.34","48.66","0","-","31-MAR-2023","12-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176330_816190_12042023045839_WEB.xml","12-APR-2023 16:58:39","12-APR-2023 17:00:59","00:02:20"
