"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Reliance Industries Limited","50.07","49.93","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489727_21072025081003_WEB.xml","21-JUL-2025 20:10:12","21-JUL-2025 20:10:16","00:00:04"
"Reliance Industries Limited","50.11","49.89","0","-","31-MAR-2025","21-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198754_1421266_21042025041033_WEB.xml","21-APR-2025 16:10:34","21-APR-2025 16:10:39","00:00:05"
"Reliance Industries Limited","50.13","49.87","0","-","31-DEC-2024","21-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195954_1355437_21012025045527_WEB.xml","21-JAN-2025 16:55:29","21-JAN-2025 16:55:33","00:00:04"
"Reliance Industries Limited","50.24","49.76","0","-","29-OCT-2024","08-NOV-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193683_1302277_08112024074252_WEB.xml","08-NOV-2024 19:42:54","08-NOV-2024 19:42:58","00:00:04"
"Reliance Industries Limited","50.24","49.76","0","-","30-SEP-2024","21-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193586_1284101_21102024082257_WEB.xml","21-OCT-2024 20:22:59","21-OCT-2024 20:23:02","00:00:03"
"Reliance Industries Limited","50.33","49.67","0","-","30-JUN-2024","20-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190705_1198040_20072024064844_WEB.xml","20-JUL-2024 18:48:46","20-JUL-2024 18:48:50","00:00:04"
"Reliance Industries Limited","50.31","49.69","0","-","31-MAR-2024","20-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188048_1102980_20042024122003_WEB.xml","20-APR-2024 00:20:05",,"::"
"Reliance Industries Limited","50.3","49.7","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185154_1030860_19012024100622_WEB.xml","19-JAN-2024 22:06:24","19-JAN-2024 22:10:04","00:03:40"
"Reliance Industries Limited","50.27","49.73","0","-","30-SEP-2023","21-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182882_965031_21102023021937_WEB.xml","21-OCT-2023 14:19:39","21-OCT-2023 14:25:02","00:05:23"
"Reliance Industries Limited","50.39","49.61","0","-","30-JUN-2023","20-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180083_896290_20072023113906_WEB.xml","20-JUL-2023 23:39:08","20-JUL-2023 23:45:07","00:05:59"
"Reliance Industries Limited","50.41","49.59","0","-","31-MAR-2023","20-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177846_829344_20042023095036_WEB.xml","20-APR-2023 21:50:38","20-APR-2023 22:00:32","00:09:54"
"Reliance Industries Limited","50.49","49.51","0","-","31-DEC-2022","20-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175390_776223_20012023081637_WEB.xml","20-JAN-2023 20:40:15",,"::"
"Reliance Industries Limited","50.57","49.43","0","-","30-SEP-2022","22-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173207_741632_22102022104950_WEB.xml","23-OCT-2022 07:10:02",,"::"
"Reliance Industries Limited","50.62","49.38","0","-","30-JUN-2022","21-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170678_699879_21072022064050_WEB.xml","21-JUL-2022 19:10:13",,"::"
"Reliance Industries Limited","50.66","49.34","0","-","31-MAR-2022","21-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168292_646671_21042022071744_WEB.xml","21-APR-2022 19:40:36",,"::"
"Reliance Industries Limited","50.61","49.39","0","-","31-DEC-2021","21-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_165605_597539_21012022080551_WEB.xml","21-JAN-2022 20:10:07",,"::"
"Reliance Industries Limited","50.62","49.38","0","-","08-DEC-2021","18-DEC-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_163339_571599_18122021033851_WEB.xml","07-JAN-2022 03:25:01",,"::"
"Reliance Industries Limited","50.61","49.39","0","-","30-SEP-2021","21-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_163182_544379_21102021092856_WEB.xml","07-JAN-2022 02:55:01",,"::"
"Reliance Industries Limited","50.59","49.41","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_160568_494125_21072021103255_WEB.xml","21-JUL-2021 22:40:03",,"::"
"Reliance Industries Limited","50.58","49.42","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_158025_441654_20042021105405_WEB.xml","20-APR-2021 23:10:08",,"::"
"Reliance Industries Limited","50.54","49.46","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_155478_396812_21012021051900_WEB.xml","21-JAN-2021 17:40:23",,"::"
"Reliance Industries Limited","50.49","49.51","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_153247_349236_21102020111054_WEB.xml","21-OCT-2020 23:40:06",,"::"
"Reliance Industries Limited","50.37","49.63","0","Revised","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150596_294512_21072020072153_WEB.xml","30-JUL-2020 11:40:02",,"::"
"Reliance Industries Limited","50.29","49.71","0","Revised","11-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_148565_264663_11062020093449_WEB.xml","15-JUN-2020 12:40:02",,"::"
"Reliance Industries Limited","50.06","49.93","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_148085_255384_14052020123414_WEB.xml","14-MAY-2020 07:10:03",,"::"
"Reliance Industries Limited","50.03","49.97","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145807_208945_21012020062739_WEB.xml","21-JAN-2020 18:40:03",,"::"
"Reliance Industries Limited","50.05","49.95","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","24-OCT-2019 14:56:40",,"::"
"Reliance Industries Limited","50.05","49.95","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","24-OCT-2019 14:56:40",,"::"
"Reliance Industries Limited","50.05","49.95","0","Revised","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142944_154844_19102019063944_WEB.xml","20-NOV-2019 19:10:01",,"::"
"Reliance Industries Limited","47.29","52.71","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_139358_123292_20072019115259_WEB.xml","21-JUL-2019 07:10:10",,"::"
"Reliance Industries Limited","47.27","52.73","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_137564_97854_20042019122148_WEB.xml","20-APR-2019 12:40:07",,"::"
