"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"SBI Life Insurance Company Limited","55.37","44.63","0","-","30-JUN-2025","18-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1487231_18072025075509_WEB.xml","18-JUL-2025 19:55:13","18-JUL-2025 19:55:18","00:00:05"
"SBI Life Insurance Company Limited","55.38","44.62","0","-","31-MAR-2025","11-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196958_1413057_11042025081506_WEB.xml","11-APR-2025 20:15:07","11-APR-2025 20:15:11","00:00:04"
"SBI Life Insurance Company Limited","55.38","44.62","0","-","31-DEC-2024","13-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194472_1343754_13012025042455_WEB.xml","13-JAN-2025 16:24:55","13-JAN-2025 16:24:58","00:00:03"
"SBI Life Insurance Company Limited","55.39","44.61","0","-","30-SEP-2024","16-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192396_1273479_16102024081014_WEB.xml","16-OCT-2024 20:10:15","16-OCT-2024 20:10:19","00:00:04"
"SBI Life Insurance Company Limited","55.41","44.59","0","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190130_1192830_18072024070632_WEB.xml","18-JUL-2024 19:06:32","18-JUL-2024 19:06:37","00:00:05"
"SBI Life Insurance Company Limited","55.42","44.58","0","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187662_1099695_18042024115024_WEB.xml","18-APR-2024 23:50:25","18-APR-2024 23:55:03","00:04:38"
"SBI Life Insurance Company Limited","55.43","44.57","0","-","31-DEC-2023","11-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183903_1017275_11012024065842_WEB.xml","11-JAN-2024 18:58:43","11-JAN-2024 19:00:08","00:01:25"
"SBI Life Insurance Company Limited","55.44","44.56","0","-","30-SEP-2023","12-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181208_948660_12102023012126_WEB.xml","12-OCT-2023 13:21:27","12-OCT-2023 13:30:15","00:08:48"
"SBI Life Insurance Company Limited","55.45","44.55","0","-","30-JUN-2023","07-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178344_876615_07072023080754_WEB.xml","07-JUL-2023 20:07:55","07-JUL-2023 20:15:03","00:07:08"
"SBI Life Insurance Company Limited","55.45","44.55","0","-","31-MAR-2023","12-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176369_816699_12042023075556_WEB.xml","12-APR-2023 19:55:56","12-APR-2023 20:00:32","00:04:36"
"SBI Life Insurance Company Limited","55.45","44.55","0","Revised","31-DEC-2022","10-JAN-2023","30-JAN-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_173726_760990_10012023053541_WEB.xml","30-JAN-2023 12:40:03",,"::"
"SBI Life Insurance Company Limited","55.46","44.54","0","Revised","30-SEP-2022","21-OCT-2022","30-JAN-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_172980_740346_21102022054315_WEB.xml","30-JAN-2023 12:40:03",,"::"
"SBI Life Insurance Company Limited","55.48","44.52","0","-","30-JUN-2022","06-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168551_679787_06072022033104_WEB.xml","06-JUL-2022 15:40:05",,"::"
"SBI Life Insurance Company Limited","55.48","44.52","0","Revised","31-MAR-2022","18-APR-2022","16-JUN-2022","https://nsearchives.nseindia.com/corporate/xbrl/SHP_167447_639335_18042022063928_WEB.xml","22-JUN-2022 11:10:11",,"::"
"SBI Life Insurance Company Limited","55.69","44.31","0","-","31-DEC-2021","07-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_163682_578577_07012022031150_WEB.xml","07-JAN-2022 15:40:08",,"::"
"SBI Life Insurance Company Limited","55.69","44.31","0","-","30-SEP-2021","08-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161145_526025_08102021074619_WEB.xml","06-JAN-2022 21:06:51",,"::"
