"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"State Bank of India","55.5","44.5","0","-","21-JUL-2025","30-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1497731_30072025033921_WEB.xml","30-JUL-2025 15:39:24","30-JUL-2025 15:39:29","00:00:05"
"State Bank of India","57.42","42.58","0","-","30-JUN-2025","18-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1486138_18072025114806_WEB.xml","18-JUL-2025 11:48:10","18-JUL-2025 11:48:15","00:00:05"
"State Bank of India","57.43","42.57","0","-","31-MAR-2025","17-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197625_1416830_17042025010539_WEB.xml","17-APR-2025 13:05:39","17-APR-2025 13:05:43","00:00:04"
"State Bank of India","57.43","42.57","0","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195678_1353485_20012025062232_WEB.xml","20-JAN-2025 18:22:33","20-JAN-2025 18:22:38","00:00:05"
"State Bank of India","57.51","42.49","0","-","30-SEP-2024","14-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191902_1268806_14102024060648_WEB.xml","14-OCT-2024 18:06:49","14-OCT-2024 18:06:52","00:00:03"
"State Bank of India","57.54","42.46","0","Revised","30-JUN-2024","08-JUL-2024","16-JUL-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_188701_1187265_16072024040003_WEB.xml","19-JUL-2024 11:43:51","19-JUL-2024 11:43:55","00:00:04"
"State Bank of India","57.54","42.46","0","-","31-MAR-2024","15-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186842_1092869_15042024070218_WEB.xml","15-APR-2024 19:02:19","15-APR-2024 19:05:11","00:02:52"
"State Bank of India","57.49","42.51","0","-","31-DEC-2023","11-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183906_1017343_11012024072931_WEB.xml","11-JAN-2024 19:29:33","11-JAN-2024 19:35:04","00:05:31"
"State Bank of India","57.49","42.51","0","-","30-SEP-2023","12-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181250_949000_12102023033423_WEB.xml","12-OCT-2023 15:34:24","12-OCT-2023 15:45:11","00:10:47"
"State Bank of India","57.47","42.53","0","-","30-JUN-2023","15-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179093_886703_15072023062229_WEB.xml","15-JUL-2023 18:22:30","15-JUL-2023 18:30:02","00:07:32"
