"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Shriram Finance Limited","25.39","74.61","0","-","30-JUN-2025","18-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1487212_18072025074503_WEB.xml","18-JUL-2025 19:45:10","18-JUL-2025 19:45:14","00:00:04"
"Shriram Finance Limited","25.4","74.6","0","Revised","31-MAR-2025","18-APR-2025","13-MAY-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_198160_1437043_13052025122744_WEB.xml","13-MAY-2025 15:47:23","13-MAY-2025 15:47:26","00:00:03"
"Shriram Finance Limited","25.4","74.6","0","-","31-DEC-2024","21-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195940_1355297_21012025042711_WEB.xml","21-JAN-2025 16:27:13","21-JAN-2025 16:27:16","00:00:03"
"Shriram Finance Limited","25.4","74.6","0","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192671_1276000_17102024073452_WEB.xml","17-OCT-2024 19:34:54","17-OCT-2024 19:34:58","00:00:04"
"Shriram Finance Limited","25.41","74.59","0","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190057_1191932_18072024045823_WEB.xml","18-JUL-2024 16:58:24","18-JUL-2024 16:58:29","00:00:05"
"Shriram Finance Limited","25.42","74.58","0","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187913_1101722_19042024052502_WEB.xml","19-APR-2024 17:25:04","19-APR-2024 17:30:09","00:05:05"
"Shriram Finance Limited","25.43","74.57","0","Revised","31-DEC-2023","18-JAN-2024","29-FEB-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_184808_1027687_18012024061519_WEB.xml","01-MAR-2024 11:41:21","01-MAR-2024 11:45:07","00:03:46"
"Shriram Finance Limited","25.45","74.55","0","-","30-SEP-2023","18-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182173_958224_18102023044535_WEB.xml","18-OCT-2023 16:45:37","18-OCT-2023 16:50:19","00:04:42"
"Shriram Finance Limited","25.48","74.52","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179748_893085_19072023054209_WEB.xml","19-JUL-2023 17:42:11","19-JUL-2023 17:45:15","00:03:04"
"Shriram Finance Limited","25.51","74.49","0","Revised","31-MAR-2023","19-APR-2023","19-JUL-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_177416_825805_19042023034459_WEB.xml","03-AUG-2023 11:24:20","03-AUG-2023 11:30:32","00:06:12"
"Shriram Finance Limited","25.29","74.71","0","Revised","31-DEC-2022","18-JAN-2023","02-MAY-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_174734_771425_18012023040455_WEB.xml","03-MAY-2023 16:09:52","03-MAY-2023 16:17:23","00:07:31"
"Shriram Finance Limited","25.24","74.76","0","-","12-DEC-2022","13-DEC-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173355_750932_13122022093601_WEB.xml","13-DEC-2022 21:40:04",,"::"
"Shriram Finance Limited","29.37","70.63","0","-","30-SEP-2022","18-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_171602_731388_18102022035202_WEB.xml","18-OCT-2022 16:10:33",,"::"
"Shriram Finance Limited","29.3","70.7","0","-","30-JUN-2022","15-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169557_690276_15072022023318_WEB.xml","15-JUL-2022 14:40:13",,"::"
"Shriram Finance Limited","26.45","73.55","0","Revised","31-MAR-2022","16-APR-2022","08-JUL-2022","https://nsearchives.nseindia.com/corporate/xbrl/SHP_167153_636978_16042022104445_WEB.xml","11-JUL-2022 15:40:13",,"::"
"Shriram Finance Limited","26.06","73.94","0","-","31-DEC-2021","19-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_165106_592942_19012022120435_WEB.xml","19-JAN-2022 12:10:17",,"::"
