"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Sun Pharmaceutical Industries Limited","54.48","45.52","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489053_21072025051303_WEB.xml","21-JUL-2025 17:13:11","21-JUL-2025 17:13:15","00:00:04"
"Sun Pharmaceutical Industries Limited","54.48","45.52","0","-","31-MAR-2025","17-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197857_1417896_17042025075818_WEB.xml","17-APR-2025 19:58:20","17-APR-2025 19:58:24","00:00:04"
"Sun Pharmaceutical Industries Limited","54.48","45.52","0","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195742_1353889_20012025075522_WEB.xml","20-JAN-2025 19:55:24","20-JAN-2025 19:55:27","00:00:03"
"Sun Pharmaceutical Industries Limited","54.48","45.52","0","-","30-SEP-2024","16-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192385_1273313_16102024070115_WEB.xml","16-OCT-2024 19:01:17","16-OCT-2024 19:01:21","00:00:04"
"Sun Pharmaceutical Industries Limited","54.48","45.52","0","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190201_1193503_19072024115758_WEB.xml","19-JUL-2024 11:58:00","19-JUL-2024 11:58:04","00:00:04"
"Sun Pharmaceutical Industries Limited","54.48","45.52","0","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187414_1097458_18042024115146_WEB.xml","18-APR-2024 11:51:48","18-APR-2024 11:55:04","00:03:16"
"Sun Pharmaceutical Industries Limited","54.48","45.52","0","-","31-DEC-2023","16-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184298_1022316_16012024124452_WEB.xml","16-JAN-2024 12:44:54","16-JAN-2024 12:50:03","00:05:09"
"Sun Pharmaceutical Industries Limited","54.48","45.52","0","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182566_961811_20102023104244_WEB.xml","20-OCT-2023 10:42:45","20-OCT-2023 10:45:08","00:02:23"
"Sun Pharmaceutical Industries Limited","54.48","45.52","0","-","30-JUN-2023","20-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179973_895256_20072023050903_WEB.xml","20-JUL-2023 17:09:04","20-JUL-2023 17:15:12","00:06:08"
"Sun Pharmaceutical Industries Limited","54.48","45.52","0","-","31-MAR-2023","21-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177869_829606_21042023111026_WEB.xml","21-APR-2023 11:10:27","21-APR-2023 11:15:09","00:04:42"
