"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"TATA CONSUMER PRODUCTS LIMITED","33.84","66.16","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489928_21072025102812_WEB.xml","21-JUL-2025 22:28:17","23-JUL-2025 17:49:46","43:21:29"
"TATA CONSUMER PRODUCTS LIMITED","33.84","66.16","0","-","31-MAR-2025","16-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197361_1415473_16042025120849_WEB.xml","16-APR-2025 12:08:50","16-APR-2025 12:08:54","00:00:04"
"TATA CONSUMER PRODUCTS LIMITED","33.84","66.16","0","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195764_1354026_20012025095412_WEB.xml","20-JAN-2025 21:54:14","20-JAN-2025 21:54:18","00:00:04"
"TATA CONSUMER PRODUCTS LIMITED","33.84","66.16","0","-","30-SEP-2024","11-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191720_1266868_11102024065138_WEB.xml","11-OCT-2024 18:51:40","11-OCT-2024 18:51:45","00:00:05"
"TATA CONSUMER PRODUCTS LIMITED","33.84","66.16","0","-","23-AUG-2024","31-AUG-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190946_1235847_31082024074528_WEB.xml","31-AUG-2024 19:45:31","31-AUG-2024 19:45:34","00:00:03"
"TATA CONSUMER PRODUCTS LIMITED","33.55","66.45","0","Revised","30-JUN-2024","19-JUL-2024","17-AUG-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_190484_1228431_17082024095815_WEB.xml","19-AUG-2024 10:31:28","19-AUG-2024 10:31:32","00:00:04"
"TATA CONSUMER PRODUCTS LIMITED","33.55","66.45","0","Revised","31-MAR-2024","11-APR-2024","18-APR-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_186400_1088585_11042024074643_WEB.xml","18-APR-2024 15:14:52","18-APR-2024 15:20:04","00:05:12"
"TATA CONSUMER PRODUCTS LIMITED","33.56","66.44","0","-","19-JAN-2024","23-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185384_1033684_23012024031948_WEB.xml","23-JAN-2024 15:19:52","23-JAN-2024 15:25:04","00:05:12"
"TATA CONSUMER PRODUCTS LIMITED","34.42","65.58","0","Revised","31-DEC-2023","19-JAN-2024","30-JAN-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_184956_1029068_19012024030025_WEB.xml","31-JAN-2024 12:58:02","31-JAN-2024 13:00:13","00:02:11"
"TATA CONSUMER PRODUCTS LIMITED","34.42","65.58","0","-","30-SEP-2023","13-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181405_950732_13102023022114_WEB.xml","13-OCT-2023 14:21:15","13-OCT-2023 14:30:04","00:08:49"
"TATA CONSUMER PRODUCTS LIMITED","34.45","65.55","0","-","30-JUN-2023","12-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178665_881247_12072023033044_WEB.xml","12-JUL-2023 15:30:46","12-JUL-2023 15:45:03","00:14:17"
"TATA CONSUMER PRODUCTS LIMITED","34.44","65.56","0","-","31-MAR-2023","20-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177592_827066_20042023103812_WEB.xml","20-APR-2023 10:38:14","20-APR-2023 10:45:05","00:06:51"
"TATA CONSUMER PRODUCTS LIMITED","34.45","65.55","0","-","31-DEC-2022","20-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175310_775565_20012023052924_WEB.xml","20-JAN-2023 17:40:18",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.72","65.28","0","Revised","30-SEP-2022","21-OCT-2022","02-MAY-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_173022_740550_21102022062431_WEB.xml","03-MAY-2023 16:10:17","03-MAY-2023 16:17:25","00:07:08"
"TATA CONSUMER PRODUCTS LIMITED","34.72","65.28","0","-","30-JUN-2022","14-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169471_689607_14072022071255_WEB.xml","14-JUL-2022 19:40:07",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.72","65.28","0","-","31-MAR-2022","20-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167786_642195_20042022102413_WEB.xml","20-APR-2022 10:40:49",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.72","65.28","0","-","31-DEC-2021","19-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_165209_593871_19012022053313_WEB.xml","19-JAN-2022 17:40:19",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.71","65.29","0","Revised","30-SEP-2021","14-OCT-2021","20-OCT-2021","https://nsearchives.nseindia.com/corporate/xbrl/SHP_161966_533836_14102021100817_WEB.xml","06-JAN-2022 21:06:51",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.71","65.29","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159311_483551_14072021044011_WEB.xml","14-JUL-2021 16:40:12",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.71","65.29","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_157399_438727_17042021032402_WEB.xml","17-APR-2021 15:40:08",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.71","65.29","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_154499_390588_15012021012601_WEB.xml","15-JAN-2021 13:40:09",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.7","65.3","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_152668_346179_20102020122417_WEB.xml","20-OCT-2020 12:40:22",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.69","65.31","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146770_242648_22042020040721_WEB.xml","22-APR-2020 16:10:02",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.44","65.56","0","-","11-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145967_230416_18032020040840_WEB.xml","18-MAR-2020 16:10:01",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.45","65.55","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145050_204296_17012020011052_WEB.xml","17-JAN-2020 13:40:04",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.45","65.55","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_141490_146352_14102019121801_WEB.xml","14-OCT-2019 12:40:04",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.45","65.55","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_139425_120957_19072019124454_WEB.xml","19-JUL-2019 13:10:09",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.45","65.55","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136181_96229_17042019062615_WEB.xml","17-APR-2019 18:40:08",,"::"
"TATA CONSUMER PRODUCTS LIMITED","34.45","65.55","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_132680_76018_21012019023713_WEB.xml","21-JAN-2019 14:40:09",,"::"
"TATA CONSUMER PRODUCTS LIMITED","35","65","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_129458_47070_11102018041901_WEB.xml","11-OCT-2018 16:40:16",,"::"
"TATA CONSUMER PRODUCTS LIMITED","35.46","64.54","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_128512_26509_19072018030404_WEB.xml","19-JUL-2018 15:10:11",,"::"
"TATA CONSUMER PRODUCTS LIMITED","35.51","64.49","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_6081_19042018060638.xml","19-APR-2018 18:10:14",,"::"
"TATA CONSUMER PRODUCTS LIMITED","35.6","64.4","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-JAN-2018 13:10:06",,"::"
"TATA CONSUMER PRODUCTS LIMITED","35.61","64.39","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-OCT-2017 20:10:02",,"::"
"TATA CONSUMER PRODUCTS LIMITED","35.76","64.24","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-JUL-2017 12:10:01",,"::"
"TATA CONSUMER PRODUCTS LIMITED","35.72","64.28","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-APR-2017 15:10:01",,"::"
