"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Tata Motors Limited","42.57","57.43","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489883_21072025094616_WEB.xml","21-JUL-2025 21:46:21","23-JUL-2025 17:49:22","44:03:01"
"Tata Motors Limited","42.58","57.42","0","Revised","31-MAR-2025","16-APR-2025","01-OCT-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_1539559_01102025033003_WEB.xml","01-OCT-2025 16:12:16","01-OCT-2025 16:12:20","00:00:04"
"Tata Motors Limited","42.58","57.42","0","-","31-DEC-2024","17-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195164_1349723_17012025053656_WEB.xml","17-JAN-2025 17:36:57","17-JAN-2025 17:37:01","00:00:04"
"Tata Motors Limited","42.58","57.42","0","-","30-SEP-2024","16-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192333_1272834_16102024052337_WEB.xml","16-OCT-2024 17:23:39","16-OCT-2024 17:23:43","00:00:04"
"Tata Motors Limited","41.86","58.14","0","-","01-SEP-2024","10-SEP-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190965_1241459_10092024070627_WEB.xml","10-SEP-2024 19:06:30","10-SEP-2024 19:06:35","00:00:05"
"Tata Motors Limited","46.36","53.64","0","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190306_1194519_19072024035749_WEB.xml","19-JUL-2024 15:57:51","19-JUL-2024 15:57:54","00:00:03"
"Tata Motors Limited","46.36","53.64","0","-","31-MAR-2024","17-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187318_1096754_17042024060216_WEB.xml","17-APR-2024 18:02:18","17-APR-2024 18:05:19","00:03:01"
"Tata Motors Limited","46.37","53.63","0","-","31-DEC-2023","20-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185253_1031672_20012024031451_WEB.xml","20-JAN-2024 15:14:53","20-JAN-2024 15:20:03","00:05:10"
"Tata Motors Limited","46.38","53.62","0","-","30-SEP-2023","21-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182837_964541_21102023121856_WEB.xml","21-OCT-2023 00:18:57","21-OCT-2023 08:05:04","07:46:07"
"Tata Motors Limited","46.39","53.61","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179787_893477_19072023070850_WEB.xml","19-JUL-2023 19:08:51","19-JUL-2023 19:15:05","00:06:14"
"Tata Motors Limited","46.39","53.61","0","-","31-MAR-2023","20-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177833_829224_20042023081341_WEB.xml","20-APR-2023 20:13:43","20-APR-2023 20:15:14","00:01:31"
"Tata Motors Limited","46.39","53.61","0","-","31-DEC-2022","20-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175340_775783_20012023060349_WEB.xml","20-JAN-2023 18:10:31",,"::"
"Tata Motors Limited","46.4","53.6","0","-","30-SEP-2022","22-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173183_741431_22102022010108_WEB.xml","22-OCT-2022 07:10:13",,"::"
