"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Tata Steel Limited","33.19","66.81","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489780_21072025083548_WEB.xml","21-JUL-2025 20:35:53","23-JUL-2025 17:49:00","45:13:07"
"Tata Steel Limited","33.19","66.81","0","-","31-MAR-2025","18-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198263_1419375_18042025102456_WEB.xml","18-APR-2025 22:24:58","18-APR-2025 22:25:02","00:00:04"
"Tata Steel Limited","33.19","66.81","0","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195719_1353778_20012025071341_WEB.xml","20-JAN-2025 19:13:43","20-JAN-2025 19:13:47","00:00:04"
"Tata Steel Limited","33.19","66.81","0","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192653_1275850_17102024065452_WEB.xml","17-OCT-2024 18:54:54","17-OCT-2024 18:54:58","00:00:04"
"Tata Steel Limited","33.19","66.81","0","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190117_1192622_18072024063517_WEB.xml","18-JUL-2024 18:35:19","18-JUL-2024 18:35:24","00:00:05"
"Tata Steel Limited","33.19","66.81","0","-","31-MAR-2024","17-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187298_1096619_17042024053014_WEB.xml","17-APR-2024 17:30:15","17-APR-2024 17:35:03","00:04:48"
"Tata Steel Limited","33.19","66.81","0","-","08-FEB-2024","16-FEB-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185483_1057274_16022024055646_WEB.xml","16-FEB-2024 17:56:48","16-FEB-2024 18:00:04","00:03:16"
"Tata Steel Limited","33.46","66.54","0","-","21-JAN-2024","31-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185414_1040647_31012024062725_WEB.xml","31-JAN-2024 18:27:27","31-JAN-2024 18:30:04","00:02:37"
"Tata Steel Limited","33.7","66.3","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185136_1030638_19012024073850_WEB.xml","19-JAN-2024 19:38:51","19-JAN-2024 19:40:08","00:01:17"
"Tata Steel Limited","33.7","66.3","0","-","22-NOV-2023","01-DEC-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183090_993189_01122023064144_WEB.xml","01-DEC-2023 18:41:46","01-DEC-2023 18:45:04","00:03:18"
