"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Tata Consultancy Services Limited","71.77","28.23","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489819_21072025085729_WEB.xml","21-JUL-2025 20:57:34","23-JUL-2025 17:48:23","44:50:49"
"Tata Consultancy Services Limited","71.77","28.23","0","-","31-MAR-2025","18-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198099_1418776_18042025044357_WEB.xml","18-APR-2025 16:43:58","18-APR-2025 16:44:01","00:00:03"
"Tata Consultancy Services Limited","71.77","28.23","0","-","31-DEC-2024","17-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195204_1350102_17012025065221_WEB.xml","17-JAN-2025 18:52:22","17-JAN-2025 18:52:27","00:00:05"
"Tata Consultancy Services Limited","71.77","28.23","0","-","30-SEP-2024","14-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191868_1268485_14102024050657_WEB.xml","14-OCT-2024 17:06:59","14-OCT-2024 17:07:02","00:00:03"
"Tata Consultancy Services Limited","71.77","28.23","0","-","30-JUN-2024","20-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190619_1197189_20072024023819_WEB.xml","20-JUL-2024 14:38:21","20-JUL-2024 14:38:24","00:00:03"
"Tata Consultancy Services Limited","71.77","28.23","0","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187563_1098678_18042024050559_WEB.xml","18-APR-2024 17:06:01","18-APR-2024 17:10:13","00:04:12"
"Tata Consultancy Services Limited","72.41","27.59","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185006_1029607_19012024043822_WEB.xml","19-JAN-2024 16:38:23","19-JAN-2024 16:40:21","00:01:58"
"Tata Consultancy Services Limited","72.3","27.7","0","-","30-SEP-2023","12-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181219_948731_12102023015530_WEB.xml","12-OCT-2023 13:55:31","12-OCT-2023 14:00:12","00:04:41"
"Tata Consultancy Services Limited","72.3","27.7","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179790_893493_19072023071308_WEB.xml","19-JUL-2023 19:13:09","19-JUL-2023 19:15:11","00:02:02"
"Tata Consultancy Services Limited","72.3","27.7","0","-","31-MAR-2023","21-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178015_831161_21042023063928_WEB.xml","21-APR-2023 18:39:30","21-APR-2023 18:45:10","00:05:40"
"Tata Consultancy Services Limited","72.3","27.7","0","-","31-DEC-2022","20-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175362_775952_20012023064420_WEB.xml","20-JAN-2023 19:10:20",,"::"
"Tata Consultancy Services Limited","72.3","27.7","0","-","30-SEP-2022","21-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173032_740585_21102022063056_WEB.xml","21-OCT-2022 18:40:27",,"::"
"Tata Consultancy Services Limited","72.3","27.7","0","-","30-JUN-2022","08-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168751_682357_08072022051844_WEB.xml","08-JUL-2022 17:40:07",,"::"
"Tata Consultancy Services Limited","72.3","27.7","0","-","31-MAR-2022","12-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_166696_632628_12042022065910_WEB.xml","12-APR-2022 19:10:28",,"::"
"Tata Consultancy Services Limited","72.19","27.81","0","-","31-DEC-2021","12-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164324_585396_12012022081934_WEB.xml","12-JAN-2022 20:40:04",,"::"
"Tata Consultancy Services Limited","72.19","27.81","0","-","30-SEP-2021","08-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161143_525982_08102021070954_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Tata Consultancy Services Limited","72.19","27.81","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_160330_492524_20072021082520_WEB.xml","20-JUL-2021 20:40:14",,"::"
"Tata Consultancy Services Limited","72.19","27.81","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156693_430485_12042021073053_WEB.xml","12-APR-2021 19:40:07",,"::"
"Tata Consultancy Services Limited","72.05","27.95","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_153812_381474_08012021083106_WEB.xml","08-JAN-2021 20:40:05",,"::"
"Tata Consultancy Services Limited","72.05","27.95","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_151015_328941_07102020085558_WEB.xml","07-OCT-2020 21:10:04",,"::"
"Tata Consultancy Services Limited","72.05","27.95","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_148855_277676_09072020101916_WEB.xml","09-JUL-2020 22:40:02",,"::"
"Tata Consultancy Services Limited","72.05","27.95","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146974_244811_28042020124542_WEB.xml","28-APR-2020 13:10:01",,"::"
"Tata Consultancy Services Limited","72.05","27.95","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145186_205190_17012020065611_WEB.xml","17-JAN-2020 19:10:03",,"::"
"Tata Consultancy Services Limited","72.05","27.95","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_141194_143533_10102019064544_WEB.xml","10-OCT-2019 19:10:02",,"::"
"Tata Consultancy Services Limited","72.05","27.95","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_139475_121055_19072019014654_WEB.xml","22-JUL-2019 17:15:39",,"::"
"Tata Consultancy Services Limited","72.05","27.95","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136250_92391_12042019053027_WEB.xml","12-APR-2019 17:40:08",,"::"
"Tata Consultancy Services Limited","72.05","27.95","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_134924_76424_21012019064500_WEB.xml","21-JAN-2019 19:10:05",,"::"
"Tata Consultancy Services Limited","72.05","27.95","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_130591_47299_11102018054346_WEB.xml","11-OCT-2018 18:10:08",,"::"
"Tata Consultancy Services Limited","71.92","28.08","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_127282_19860_10072018053946_WEB.xml","10-JUL-2018 17:40:09",,"::"
"Tata Consultancy Services Limited","71.92","28.08","0","-","03-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","03-JUN-2018 22:40:03",,"::"
