"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Tech Mahindra Limited","35","65","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489460_21072025064930_WEB.xml","21-JUL-2025 18:49:39","21-JUL-2025 18:49:44","00:00:05"
"Tech Mahindra Limited","35.01","64.99","0","-","31-MAR-2025","21-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198634_1420742_21042025123612_WEB.xml","21-APR-2025 12:36:14","21-APR-2025 12:36:17","00:00:03"
"Tech Mahindra Limited","35.01","64.99","0","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195761_1353995_20012025092145_WEB.xml","20-JAN-2025 21:21:47","20-JAN-2025 21:21:51","00:00:04"
"Tech Mahindra Limited","35.03","64.97","0","-","30-SEP-2024","16-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192392_1273397_16102024073458_WEB.xml","16-OCT-2024 19:35:00","16-OCT-2024 19:35:04","00:00:04"
"Tech Mahindra Limited","35.05","64.95","0","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190389_1195464_19072024060721_WEB.xml","19-JUL-2024 18:07:23","19-JUL-2024 18:07:28","00:00:05"
"Tech Mahindra Limited","35.09","64.91","0","Revised","31-MAR-2024","16-APR-2024","08-MAY-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_187057_1094661_16042024055150_WEB.xml","08-MAY-2024 15:49:27","08-MAY-2024 15:55:03","00:05:36"
"Tech Mahindra Limited","35.11","64.89","0","-","31-DEC-2023","15-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184255_1021901_15012024083917_WEB.xml","15-JAN-2024 20:39:18","15-JAN-2024 20:45:03","00:05:45"
"Tech Mahindra Limited","35.13","64.87","0","-","30-SEP-2023","13-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181519_951930_13102023075106_WEB.xml","13-OCT-2023 19:51:08","13-OCT-2023 20:00:04","00:08:56"
"Tech Mahindra Limited","35.16","64.84","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179733_892961_19072023052216_WEB.xml","19-JUL-2023 17:22:18","19-JUL-2023 17:30:47","00:08:29"
"Tech Mahindra Limited","35.18","64.82","0","-","31-MAR-2023","14-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176665_819428_14042023051442_WEB.xml","14-APR-2023 17:14:44","14-APR-2023 17:30:02","00:15:18"
"Tech Mahindra Limited","35.19","64.81","0","-","31-DEC-2022","17-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174615_770442_17012023082516_WEB.xml","17-JAN-2023 20:40:03",,"::"
"Tech Mahindra Limited","35.22","64.78","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172534_738253_20102022080533_WEB.xml","20-OCT-2022 20:10:11",,"::"
"Tech Mahindra Limited","35.24","64.76","0","-","30-JUN-2022","19-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170128_695225_19072022044637_WEB.xml","19-JUL-2022 17:10:24",,"::"
"Tech Mahindra Limited","35.26","64.74","0","-","31-MAR-2022","19-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167766_641939_19042022075944_WEB.xml","19-APR-2022 20:10:28",,"::"
"Tech Mahindra Limited","35.67","64.32","0.01","-","31-DEC-2021","13-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164487_587182_13012022075354_WEB.xml","13-JAN-2022 20:10:03",,"::"
"Tech Mahindra Limited","35.7","64.29","0.01","-","30-SEP-2021","19-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_162430_537524_19102021125225_WEB.xml","06-JAN-2022 23:55:01",,"::"
"Tech Mahindra Limited","35.73","64.26","0.01","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_160305_492358_20072021071201_WEB.xml","20-JUL-2021 19:40:14",,"::"
"Tech Mahindra Limited","35.76","64.24","0.01","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_158185_442393_21042021052007_WEB.xml","21-APR-2021 17:40:12",,"::"
"Tech Mahindra Limited","35.79","64.2","0.01","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_155312_395673_20012021055337_WEB.xml","20-JAN-2021 18:10:23",,"::"
"Tech Mahindra Limited","35.82","64.17","0.01","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_152911_347459_20102020073630_WEB.xml","20-OCT-2020 19:40:20",,"::"
"Tech Mahindra Limited","35.83","64.16","0.01","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150502_293969_21072020041222_WEB.xml","21-JUL-2020 16:40:07",,"::"
"Tech Mahindra Limited","35.85","64.15","0.01","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146741_242389_21042020110954_WEB.xml","21-APR-2020 23:10:01",,"::"
"Tech Mahindra Limited","35.87","64.13","0.01","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_144222_193813_10012020052828_WEB.xml","10-JAN-2020 17:40:03",,"::"
"Tech Mahindra Limited","35.88","64.11","0.01","Revised","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142779_153978_18102019074020_WEB.xml","13-NOV-2019 12:10:02",,"::"
"Tech Mahindra Limited","35.9","64.09","0.01","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_139751_121746_19072019060404_WEB.xml","19-JUL-2019 18:10:25",,"::"
"Tech Mahindra Limited","35.87","64.12","0.01","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_137546_97726_19042019071717_WEB.xml","19-APR-2019 19:40:07",,"::"
"Tech Mahindra Limited","35.94","64.02","0.04","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_134556_75176_18012019080951_WEB.xml","18-JAN-2019 20:10:08",,"::"
"Tech Mahindra Limited","35.96","64","0.04","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_130216_51948_17102018024214_WEB.xml","17-OCT-2018 15:10:09",,"::"
"Tech Mahindra Limited","35.98","63.98","0.04","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126574_26564_19072018034007_WEB.xml","19-JUL-2018 15:40:19",,"::"
"Tech Mahindra Limited","36","63.96","0.04","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_WEB_4270_17042018033451.xml","17-APR-2018 15:40:09",,"::"
"Tech Mahindra Limited","36.01","63.94","0.05","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-JAN-2018 19:10:02",,"::"
"Tech Mahindra Limited","36.12","63.83","0.05","Revised","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","08-DEC-2017 16:10:28",,"::"
"Tech Mahindra Limited","36.16","63.79","0.05","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-JUL-2017 16:40:01",,"::"
"Tech Mahindra Limited","36.21","63.74","0.06","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-APR-2017 20:10:01",,"::"
