"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Titan Company Limited","52.9","47.02","0.08","-","30-JUN-2025","09-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1490050_22072025114302_WEB.xml","09-JUL-2025 15:49:24","23-JUL-2025 18:12:04","338:22:40"
"Titan Company Limited","52.9","47.02","0.08","-","31-MAR-2025","09-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196609_1410823_09042025030315_WEB.xml","09-APR-2025 15:03:16","09-APR-2025 15:03:20","00:00:04"
"Titan Company Limited","52.9","47.02","0.08","Revised","31-DEC-2024","15-JAN-2025","24-JAN-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_194746_1359896_24012025105246_WEB.xml","24-JAN-2025 11:11:29","24-JAN-2025 11:11:33","00:00:04"
"Titan Company Limited","52.9","47.02","0.08","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192415_1273664_17102024104717_WEB.xml","17-OCT-2024 10:47:19","17-OCT-2024 10:47:23","00:00:04"
"Titan Company Limited","52.9","47.02","0.08","-","30-JUN-2024","11-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189098_1180329_11072024043800_WEB.xml","11-JUL-2024 16:38:02","11-JUL-2024 16:38:06","00:00:04"
"Titan Company Limited","52.9","47.02","0.08","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187541_1098499_18042024044323_WEB.xml","18-APR-2024 16:43:24","18-APR-2024 16:45:07","00:01:43"
"Titan Company Limited","52.9","47.1","0","-","31-DEC-2023","18-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184762_1027089_18012024043548_WEB.xml","18-JAN-2024 16:35:50","18-JAN-2024 16:40:04","00:04:14"
"Titan Company Limited","52.9","47.1","0","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182563_961791_20102023103636_WEB.xml","20-OCT-2023 10:36:37","20-OCT-2023 10:40:02","00:03:25"
"Titan Company Limited","52.9","47.1","0","-","30-JUN-2023","18-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179401_889738_18072023015955_WEB.xml","18-JUL-2023 13:59:56","18-JUL-2023 14:15:03","00:15:07"
"Titan Company Limited","52.9","47.1","0","-","31-MAR-2023","13-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176432_817255_13042023023816_WEB.xml","13-APR-2023 14:38:18","13-APR-2023 14:45:22","00:07:04"
"Titan Company Limited","52.9","47.1","0","-","31-DEC-2022","13-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174248_766668_13012023105522_WEB.xml","14-JAN-2023 07:10:03",,"::"
"Titan Company Limited","52.9","47.1","0","-","30-SEP-2022","19-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172074_735251_19102022111009_WEB.xml","20-OCT-2022 07:10:07",,"::"
"Titan Company Limited","52.9","47.1","0","-","30-JUN-2022","16-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169724_691976_16072022102640_WEB.xml","16-JUL-2022 22:40:06",,"::"
"Titan Company Limited","52.9","47.1","0","-","31-MAR-2022","13-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_166832_634072_13042022044556_WEB.xml","13-APR-2022 17:10:31",,"::"
"Titan Company Limited","52.9","47.1","0","-","31-DEC-2021","13-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164434_586480_13012022040357_WEB.xml","13-JAN-2022 16:10:20",,"::"
"Titan Company Limited","52.9","47.1","0","-","30-SEP-2021","20-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_162829_540749_20102021045246_WEB.xml","07-JAN-2022 01:25:01",,"::"
"Titan Company Limited","52.9","47.1","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159320_483635_14072021045345_WEB.xml","14-JUL-2021 17:10:16",,"::"
"Titan Company Limited","52.9","47.1","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156906_433343_14042021024223_WEB.xml","14-APR-2021 15:10:16",,"::"
"Titan Company Limited","52.9","47.1","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_154242_387151_13012021021557_WEB.xml","13-JAN-2021 14:40:11",,"::"
"Titan Company Limited","52.9","47.1","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_151771_338594_14102020024822_WEB.xml","14-OCT-2020 15:10:12",,"::"
"Titan Company Limited","52.91","47.09","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149535_288739_16072020110138_WEB.xml","16-JUL-2020 23:10:02",,"::"
"Titan Company Limited","52.91","47.09","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146307_238656_14042020111001_WEB.xml","14-APR-2020 23:10:02",,"::"
"Titan Company Limited","52.91","47.09","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_144525_198301_14012020115239_WEB.xml","14-JAN-2020 12:10:03",,"::"
"Titan Company Limited","52.91","47.09","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_141241_143958_11102019121546_WEB.xml","11-OCT-2019 12:40:02",,"::"
