"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Trent Limited","37.01","62.99","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488593_21072025021918_WEB.xml","21-JUL-2025 14:19:22","23-JUL-2025 17:49:54","51:30:32"
"Trent Limited","37.01","62.99","0","-","31-MAR-2025","10-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196732_1411649_10042025033111_WEB.xml","10-APR-2025 15:31:13","10-APR-2025 15:31:16","00:00:03"
"Trent Limited","37.01","62.99","0","-","31-DEC-2024","13-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194480_1343816_13012025044240_WEB.xml","13-JAN-2025 16:42:41","13-JAN-2025 16:42:46","00:00:05"
"Trent Limited","37.01","62.99","0","-","30-SEP-2024","18-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192770_1276834_18102024010143_WEB.xml","18-OCT-2024 13:01:45","18-OCT-2024 13:01:48","00:00:03"
"Trent Limited","37.01","62.99","0","-","30-JUN-2024","11-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189086_1180193_11072024041057_WEB.xml","11-JUL-2024 16:10:59","11-JUL-2024 16:11:03","00:00:04"
"Trent Limited","37.01","62.99","0","Revised","31-MAR-2024","16-APR-2024","25-JUN-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_187063_1162408_25062024110845_WEB.xml","16-JUL-2024 17:00:00","16-JUL-2024 17:00:04","00:00:04"
"Trent Limited","37.01","62.99","0","-","31-DEC-2023","11-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183851_1016734_11012024050127_WEB.xml","11-JAN-2024 17:01:28","11-JAN-2024 17:05:09","00:03:41"
"Trent Limited","37.01","62.99","0","-","30-SEP-2023","13-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181451_951139_13102023042022_WEB.xml","13-OCT-2023 16:20:24","13-OCT-2023 16:30:13","00:09:49"
"Trent Limited","37.01","62.99","0","-","30-JUN-2023","17-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179238_888000_17072023051021_WEB.xml","17-JUL-2023 17:10:22","17-JUL-2023 17:15:42","00:05:20"
"Trent Limited","37.01","62.99","0","-","31-MAR-2023","20-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177601_827147_20042023111715_WEB.xml","20-APR-2023 11:17:16","20-APR-2023 11:30:32","00:13:16"
