"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"UltraTech Cement Limited","59.23","40.59","0.18","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489411_21072025063712_WEB.xml","21-JUL-2025 18:37:16","21-JUL-2025 18:37:21","00:00:05"
"UltraTech Cement Limited","59.23","40.59","0.18","-","31-MAR-2025","18-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198037_1418567_18042025033012_WEB.xml","18-APR-2025 15:30:12","18-APR-2025 15:30:18","00:00:06"
"UltraTech Cement Limited","60","39.81","0.19","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195561_1352642_20012025041851_WEB.xml","20-JAN-2025 16:18:52","20-JAN-2025 16:18:57","00:00:05"
"UltraTech Cement Limited","59.99","39.84","0.17","-","30-SEP-2024","18-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192957_1278355_18102024054447_WEB.xml","18-OCT-2024 17:44:49","18-OCT-2024 17:44:54","00:00:05"
"UltraTech Cement Limited","59.99","39.84","0.17","-","30-JUN-2024","10-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188946_1177985_10072024030821_WEB.xml","10-JUL-2024 15:08:22","10-JUL-2024 15:08:27","00:00:05"
"UltraTech Cement Limited","59.95","39.87","0.17","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188004_1102517_19042024071259_WEB.xml","19-APR-2024 19:13:00","19-APR-2024 19:15:03","00:02:03"
"UltraTech Cement Limited","59.96","39.87","0.18","-","31-DEC-2023","12-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183991_1018467_12012024034138_WEB.xml","12-JAN-2024 15:41:39","12-JAN-2024 15:45:07","00:03:28"
"UltraTech Cement Limited","59.96","39.86","0.18","-","30-SEP-2023","18-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182058_957222_18102023122358_WEB.xml","18-OCT-2023 12:23:59","18-OCT-2023 12:25:15","00:01:16"
"UltraTech Cement Limited","59.96","39.9","0.14","-","30-JUN-2023","18-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179512_890808_18072023060546_WEB.xml","18-JUL-2023 18:05:47","18-JUL-2023 18:15:09","00:09:22"
"UltraTech Cement Limited","59.96","39.9","0.15","-","31-MAR-2023","20-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177712_828072_20042023040830_WEB.xml","20-APR-2023 16:08:31","20-APR-2023 16:15:41","00:07:10"
"UltraTech Cement Limited","59.96","39.91","0.13","-","31-DEC-2022","13-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174167_765707_13012023040836_WEB.xml","13-JAN-2023 16:10:23",,"::"
"UltraTech Cement Limited","59.96","39.91","0.14","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172504_738049_20102022070528_WEB.xml","20-OCT-2022 19:10:35",,"::"
"UltraTech Cement Limited","59.96","39.95","0.09","-","30-JUN-2022","15-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169624_690920_15072022052320_WEB.xml","15-JUL-2022 17:40:16",,"::"
