"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Wipro Limited","72.66","27.22","0.11","-","30-JUN-2025","12-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1481700_12072025083419_WEB.xml","12-JUL-2025 20:34:24","12-JUL-2025 20:34:27","00:00:03"
"Wipro Limited","72.67","27.22","0.11","-","13-JUN-2025","18-JUN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_199065_1468269_18062025074310_WEB.xml","18-JUN-2025 19:43:11","18-JUN-2025 19:43:15","00:00:04"
"Wipro Limited","72.73","27.15","0.11","-","31-MAR-2025","08-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196527_1410215_08042025053332_WEB.xml","08-APR-2025 17:33:33","08-APR-2025 17:33:37","00:00:04"
"Wipro Limited","72.75","27.13","0.11","-","31-DEC-2024","14-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194633_1345269_14012025060009_WEB.xml","14-JAN-2025 18:00:10","14-JAN-2025 18:00:14","00:00:04"
"Wipro Limited","72.79","27.1","0.11","-","10-DEC-2024","14-DEC-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193776_1327160_14122024092128_WEB.xml","14-DEC-2024 21:21:30","14-DEC-2024 21:21:34","00:00:04"
"Wipro Limited","72.79","27.09","0.11","-","08-NOV-2024","18-NOV-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193705_1316678_18112024072916_WEB.xml","18-NOV-2024 19:29:18","18-NOV-2024 19:29:22","00:00:04"
"Wipro Limited","72.8","27.09","0.11","-","30-SEP-2024","10-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191568_1265227_10102024061841_WEB.xml","10-OCT-2024 18:18:42","10-OCT-2024 18:18:46","00:00:04"
"Wipro Limited","72.82","27.07","0.11","-","30-JUN-2024","12-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189326_1183422_12072024092317_WEB.xml","12-JUL-2024 21:23:19","12-JUL-2024 21:23:23","00:00:04"
"Wipro Limited","72.89","27","0.11","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187923_1101807_19042024053629_WEB.xml","19-APR-2024 17:36:31","19-APR-2024 17:40:16","00:03:45"
"Wipro Limited","72.9","26.98","0.12","-","20-JAN-2024","30-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185408_1039491_30012024070439_WEB.xml","30-JAN-2024 19:04:41","30-JAN-2024 19:10:03","00:05:22"
